,Layer,handbag_383842,sandwich_465430,bed_491757,bird_100489,bottle_460929,toothbrush_160666,refrigerator_536947,remote_476810,cow_545958,truck_295420,dining table_480122,car_227511,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,bench_350607,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,potted plant_473219,vase_376478,baseball glove_515982,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,spoon_88040,giraffe_287545,scissors_340930,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,snowboard_393469,chair_81061,sandwich_417608,snowboard_425906,kite_24027,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster
0,backbone.res2.0.conv1,0.40238247673543104,0.47984052539336974,0.029444651851456165,0.6176514972641509,0.566088209997324,0.6010077026742956,0.7339621739070149,0.7241608862084773,0.11381441980125512,0.6485859751676682,0.36356759962672297,0.6374591819536556,0.5037229223941567,0.6790774819746331,0.47527945470395944,0.7099867730823824,0.6294549918652874,0.5817780966436568,-0.040930117042132896,0.5058147458283238,0.6784439948714545,0.43361962945450677,0.6357289197018358,0.41178607142569906,0.6112117939936801,0.7358940330574743,0.7524098652216793,0.3619269500587167,0.40037912534404974,0.4853696377112067,0.35394509368822474,0.655554855291243,0.5993016569911909,0.6215423107073246,0.5466187328132291,0.31385654412964986,0.4342703594139583,0.6660448542687163,0.2179666950738415,0.37249743253516965,0.6268860676173404,0.24382373408214536,0.3513039227781197,0.3394877731691166,0.546861527992934,0.5520374738340141,0.41997124242866035,0.4509131058515896,0.5713945939608751,0.39065363210562176,0.7540319310943151,-0.043903695558476084,0.35815622646451084,0.07502718109740744,0.1559151613768692,0.6823961672360885,-0.01538865807870704,0.6575587890441144,0.7820088598237933,0.7291329700025884,0.4243859025701324,0.43324014847408876,0.43124535949314824,0.6879070658156836,0.5200754758110956,0.09126026785374805,0.6987211854898625,0.6353487391986427,0.3225795723003198,0.5021735618261779,0.5119796508053858,0.36451977528341284,0.4903323733354936,0.2206628266498466,0.5584313745540394,0.7295231574693495,0.6324375164390899,0.38355050306893324,0.2842732171688903,0.2766017873178215,-0.007971321938627,0.37291053049748707,0.32079904629590894,0.38168361470439344,0.6228137519079091,0.5841316690067867,0.43274625526064053,0.5071378496078252,0.4655046918287039,0.5774405929983284,0.5551176732202435,0.6202113510168448,0.6170547704372407,0.5255909167941678,0.23512929706380914,0.6241295036062899,0.3800706505173271,0.38344755386006446,0.42883143840198096,0.34910656464731354,0.44058036773481163,0.7906223475403128,0.3530417326737022,0.38117426873852317,0.5114107821293993,0.33227629699064526,0.8792103098159686,0.43695521545948307,0.29706832874890277,0.6544806138511082,0.5540745361652016,0.8544726612348881,0.5031218167919039,0.32614845076583454,0.4649836873239604,0.500781972441855,-0.0192418924624515,0.5827304307179221,0.43212391267338546,0.6991839012700054,0.201154088657776,0.3643596597094482,0.4006971853176268,0.7323427934829532,0.23165831017895228,0.524352066891602,0.18223069704823602,0.42894390972604174,0.6555518527333706,0.5814908184906046,0.46213317020864925,0.3709588369646417,0.34122621505343015,0.2692731614426158,0.4770179399025071,0.46137805818090893,0.6612523054496114,0.5411793316594213,0.8291341401414036,0.21494584553433674,0.37473337330580253,0.3804035595327058,0.20353715026615857,0.644679172824885,2
1,backbone.res2.0.conv2,0.4378083258721602,0.4853560702347811,0.029738925299860962,0.5900858563373627,0.5699422549876465,0.552253277141054,0.7641274904274281,0.6405904165459869,0.0908525907553158,0.711843283252423,0.3168728460613735,0.6444091737609181,0.5063164832334203,0.6784199151409929,0.5470966402547549,0.7318293021816055,0.657539693924513,0.5644831068527784,-0.04153335130070475,0.4591544292861594,0.8100912870736767,0.44610963452842345,0.6315323585100792,0.34194081545460153,0.638771066012343,0.7431697210436664,0.6322625056723041,0.26680088265991675,0.34657507442175095,0.4958032638729791,0.41187179491056286,0.6767481128628392,0.6164443839815311,0.6188655492895108,0.586157340370257,0.3343247229259045,0.41294875564642886,0.6687096603632687,0.2657647907974737,0.35442680431489754,0.5267859447702508,0.24004643647225513,0.355084709783664,0.3330752421290971,0.561938130484443,0.5299797389554106,0.45351143169567276,0.47112996926194406,0.5330939143615848,0.3589526728573924,0.7367403239293044,-0.0338241814817687,0.357081248518537,0.19482446014889354,0.16898970333350635,0.7647451208278563,0.038753305859025866,0.6434333750086701,0.7929944226023251,0.9062140445132377,0.3546134172548336,0.3953016625496976,0.4311848117397269,0.6948596486014122,0.4828977790915507,0.1072922606826086,0.6931717309497998,0.6214695216548356,0.30855952545062354,0.46202747302210095,0.5374454720706103,0.35250009324381154,0.6011486374367383,0.19282136738500677,0.5483173966738685,0.7410134280945152,0.6152236028155559,0.39511255209920293,0.3785180358935109,0.28945534449175353,0.004627031452250496,0.3448049870023445,0.42185282331253393,0.10859028236033148,0.5883173507894756,0.5523073201773014,0.37923839609272597,0.5197698689745727,0.5381579252344749,0.5757903644548026,0.543040182933981,0.5940240725436328,0.6660774333229675,0.5341372125116559,0.23898130045479218,0.6298610740432792,0.38395147268854607,0.3406496329188595,0.34042446649258956,0.3220266027362895,0.4673820686412258,0.7925083753021255,0.33843625260579185,0.33116879455183557,0.5419339040936115,0.4208245406827581,0.8599384129068307,0.2594557435662626,0.40024494823653173,0.6499305375804216,0.6558051746336964,0.8686446770642724,0.5081365156030907,0.3102354409052469,0.4444074859038336,0.402460704453908,-0.010643480081420567,0.5949546391509176,0.40208655247707564,0.6760844708138595,0.2476005148667299,0.42889207257663503,0.3896008361179656,0.6971282392468032,0.04286898263101253,0.5878902067407707,0.27778486950710274,0.4259121452951661,0.6107730091314981,0.6069876725202568,0.4815048757676011,0.31661762063424553,0.2533002757191146,0.2903543466722278,0.47695676065603154,0.5329267355504155,0.687594155272501,0.5381894058658845,0.8298427770433594,0.19235797944056685,0.33914112571733834,0.40981825399999006,0.17973830102316274,0.7200695683133587,2
2,backbone.res2.0.conv3,0.5525766473525443,0.5130845890542953,0.0250169973883471,0.6285105648247951,0.5834225613943249,0.6293166031934643,0.7435989353927303,0.7031456124438399,0.09171584253387689,0.656596952652547,0.3145182108364301,0.6735707024688762,0.5471526942435893,0.6896641366626154,0.48790646635938456,0.6717965862686761,0.6136804839963724,0.5643411041550395,-0.04158573732760693,0.5598443701811325,0.5098572578159166,0.436484668516136,0.6695454699271903,0.40896745637463855,0.6486862424111909,0.7591609800950032,0.6101856225019163,0.3476066203157376,0.4668989149159674,0.49270168761126754,0.47055385449776244,0.651367062822803,0.6315349608624095,0.6200996905915255,0.6008531634889365,0.2755915268352696,0.5025518346614215,0.6759264373093912,0.31046449782913865,0.3551764993872646,0.4987613224940494,0.2966217546833892,0.3487496237522186,0.35583619612289263,0.6864782073280864,0.6302254751136067,0.4836201082468455,0.43050302748768093,0.47003723529997193,0.3694560192450929,0.763166353422839,-0.03888894473202535,0.36243054287517124,0.21583371873345428,0.36994154230464316,0.686868550915222,-0.05897240364003531,0.603983727974996,0.7838493617547617,0.8635691996936709,0.4800475683686426,0.5101579101656185,0.4445111215949957,0.7146269500825937,0.4861607755373246,0.1413241279061178,0.6306282659977931,0.6204249097329521,0.3779930468050467,0.562316535389498,0.4430282997593207,0.3228220436131746,0.6365172268543443,0.3465336649655655,0.5294510446590693,0.6504701261585741,0.6026843615031984,0.4445969678192648,0.4763553305381897,0.28705694975122986,-0.006573148189903149,0.3840042984596424,0.3753193768562585,0.4029140785125491,0.5606750714023132,0.5717776549667741,0.4357771887597791,0.5783749070491941,0.5282134994081682,0.5634844524049515,0.5383730178685278,0.6126325138437887,0.632472372841206,0.5053120518772081,0.2468809491949349,0.624424201731502,0.37542643239166135,0.41360210224037386,0.3655112084719891,0.4028657539711335,0.5326662440438878,0.6689196151048737,0.3420854412615632,0.3057323676977499,0.49931799786369707,0.41654191402675955,0.9307350882442995,0.3100751268612642,0.4241394364848346,0.6553144855680436,0.6582325224060596,0.8810328666822168,0.5469626095481445,0.16059046539853777,0.5584007164340832,0.3654982206333711,-0.016412462955877383,0.6276298925864329,0.416777108659363,0.6232366256348254,0.17269261642325512,0.4431421220983768,0.41074098568647543,0.8671854609713278,0.41440840366042886,0.4998383644891662,0.303737233220588,0.4505262330641928,0.6071771970415356,0.6335313721704948,0.4515593545198729,0.3244607597632031,0.40194936102210954,0.3173677657755888,0.4647549646731331,0.3503354709638718,0.753663093667787,0.5011331297609932,0.7198707431017863,0.24750337122805002,0.35927367376824343,0.473776825819358,0.2595317120543443,0.8067092296114275,2
3,backbone.res2.1.conv1,0.49117919794973014,0.4941106542097235,0.028767370633923192,0.5911634067298107,0.5641013040613386,0.6285155101871011,0.7506406072834795,0.740514946928152,0.08791184988351941,0.7228610192863194,0.3734099200682064,0.6928207346058942,0.6456646116830373,0.6626892407801062,0.4765596529520657,0.6911207332630724,0.6145360679240001,0.6024383555982681,-0.043870520679414715,0.5884913686153114,0.6388177329615509,0.4640974195008582,0.6714161624111833,0.37827477097714185,0.6604398598481439,0.7637841039522597,0.6816928374240407,0.3617611703381209,0.480522786793013,0.49121649760989333,0.49064401830999327,0.6679220164559216,0.6133172709523588,0.5465207257334298,0.6329157433460735,0.22751243830562112,0.5046882894510257,0.6639569822133372,0.3537953225498251,0.313126660779963,0.5272990682411792,0.2596914135943953,0.3785385115454833,0.3948575183996905,0.6876142529656468,0.6105583140183104,0.5016269727097095,0.46996187672048273,0.39811289069276395,0.3814899246113356,0.7630789880750074,-0.040612813171194764,0.3456686684348925,0.2332106436551388,0.4492732250444677,0.6698249927933179,-0.06395279316544979,0.511702408636566,0.709280384270758,0.8692589380083113,0.49713366834756173,0.4939690577010295,0.40735169443589975,0.7034436711000668,0.5520447979344674,0.14142542763239424,0.6342086122235734,0.6254047277626574,0.3904836804729781,0.515175458958803,0.4418470487022363,0.39142546147854973,0.6312848465655392,0.33016477527057836,0.5303079906694388,0.7525017984842428,0.605205828965149,0.4504832163230041,0.501188657744627,0.24667813781761422,0.04593768643267298,0.3623572801391496,0.3733143333364341,0.38244867331854415,0.562647962191689,0.5512046199419085,0.4127008176242238,0.6049391403332925,0.5312359485752486,0.5529514180576509,0.5588670226035753,0.5993327559438344,0.5669980212313036,0.5392899793896477,0.26202314377163405,0.6223376305555904,0.3623427892929112,0.4172190450138496,0.45213859727370487,0.41934218133739715,0.4744037571070335,0.7186298122502306,0.3647720539925704,0.25929939844313504,0.47923341188260377,0.2871289405525635,0.9103199439541307,0.5047185340626792,0.42588089904189985,0.6475391362580395,0.6076073611483696,0.8907851813520485,0.5305422839433287,0.15664028753044784,0.5488148537969374,0.5672914113246709,-0.010797148931721047,0.5757384519172257,0.41799658361631037,0.6230297998437409,0.24022910507068646,0.46998384505021196,0.3810518709759937,0.8672494140220284,0.3263982850469969,0.47641310071371973,0.1669714540655722,0.460037957750868,0.6793508192041425,0.641809890258497,0.4716298357396615,0.320722690472826,0.3696906550434495,0.3124889371131556,0.4954303351036694,0.39012686054593637,0.7176371592846562,0.5087999797013946,0.7655551303170474,0.23977549919075952,0.4231469251229667,0.35939158347054595,0.30272801422683004,0.7724533106536478,2
4,backbone.res2.1.conv2,0.4853701279325865,0.5261059150297259,0.02907194128729391,0.618258549667338,0.5519756363000518,0.6271051773729115,0.6988603073985649,0.7559535487274532,0.11489788944788064,0.6753642168174119,0.3214578037832288,0.6779222117484965,0.6029951877356671,0.683323403305929,0.5627466998339131,0.7165393764977501,0.6247285173908157,0.5737831858425334,-0.038350513582872336,0.5547132888938341,0.7886748866444816,0.4186706440296505,0.4877337840974301,0.41197757260824647,0.6085736634618022,0.7530314033401696,0.7720883867224999,0.38388737890151753,0.4426030763942348,0.5433331258105173,0.452722332202825,0.6759706625528215,0.5840377715393389,0.5229832032765139,0.6336088287561512,0.24681111300357417,0.5291192097545971,0.6536960514522673,0.3450822344097445,0.29022971365875755,0.5067239309457281,0.26068144708833957,0.3680751055260041,0.4098826611920817,0.691873912988537,0.5832489879422853,0.509749737727159,0.45012182097540604,0.403886101960389,0.27743529432547487,0.7053502552306009,-0.04157641614111269,0.12087155617491387,0.2605043975205095,0.3347817937817353,0.6564637515238168,-0.0534923193543599,0.5336068129064809,0.8074622508600604,0.8455468061072159,0.4720259840404411,0.5286376161891513,0.43945535156278326,0.6933518345142989,0.5042610599701025,0.12384235195585999,0.6077834129222787,0.6177190353455736,0.3713772840700068,0.48010071508781244,0.4898540156267028,0.2866431762598132,0.5701080128259348,0.33794546514240226,0.516035575727252,0.7280685251476378,0.627174563011455,0.4312657675321537,0.47508736359992887,0.26356743971557195,-0.012536412991407843,0.408908520092193,0.41511480208914925,0.4056878312252314,0.573975918872665,0.5622417030235696,0.42220916680108417,0.578986347628641,0.5354633741191008,0.5672144526284117,0.5564113132629576,0.6284778656602515,0.6654891881230193,0.5133824344950072,0.2554657605607464,0.6036267449278236,0.35647279906136553,0.42351291675381086,0.4062846403735271,0.3793598544137336,0.4323851820872672,0.5420412775701865,0.33281975988037116,0.4306970647841961,0.4613153497971209,0.22895901491787388,0.8627463051221824,0.506419572837277,0.39602361023321786,0.6334467938821596,0.53705357000626,0.9003404818897986,0.574710724836384,0.28477049996514514,0.5093503043677013,0.3477349065699235,0.019933079809484267,0.6015896573768515,0.38880232134732434,0.637405358554463,0.18088768113982828,0.4473043112090476,0.3995195225238105,0.8577227727700555,0.3999888957648124,0.5248114668008815,0.2277869386098225,0.4549836025743211,0.6358352787196595,0.598995826145404,0.43950365585293616,0.4100200080751319,0.3579850446394405,0.3133089077119249,0.5225684802108675,0.5923293631647636,0.7045145458444675,0.5247468831125378,0.7958374316014907,0.2199897926496433,0.40651343525587846,0.4116585327377098,0.3343834237430632,0.741292064273934,2
5,backbone.res2.1.conv3,0.5967389871588893,0.529825373923953,0.017144352520142736,0.6145744366968576,0.5744575738714071,0.6379116754427209,0.5698414657914066,0.7667392482125199,0.15827689635572864,0.6587125904525973,0.30576613359920035,0.6830716166867226,0.6501664668562559,0.6993114221796556,0.579540907759682,0.7130795714271904,0.6345868791585885,0.5876362479873953,-0.03254085810652128,0.5817973799553324,0.48566671694863045,0.4299303688584801,0.6807215805693276,0.3590205618819927,0.6297906583357764,0.7594562572522379,0.5754965575545964,0.3745969422979283,0.5066227875900822,0.5140569942737035,0.5072995400385778,0.5749961220104182,0.6106254244204173,0.3270643831782823,0.6094629089773294,0.24603479137795245,0.5976592422829871,0.6910080418046667,0.35574095697937047,0.35892200684245174,0.5284357468969295,0.30688930761393973,0.3941462274375422,0.3214449843820182,0.642652726381654,0.5008440437400032,0.4981000197496818,0.4219105384982234,0.3544912900933277,0.39631510260884023,0.7606880228117843,-0.0395797832995191,0.36458410829720245,0.2349240259540073,0.375341048574844,0.6557404993693594,-0.053529625018876176,0.5666697455933235,0.7965270184505336,0.8331937431663503,0.47637197755497784,0.5518022148180904,0.4477186452620667,0.7149931381009229,0.47739062800327203,0.14036066156367727,0.6595147430599854,0.599943843456799,0.3657090367925533,0.5971918642816613,0.4914857558922392,0.2907739253308033,0.6366971470362979,0.35903631496467225,0.5331317342416294,0.7841696391399569,0.4772384475167079,0.42560658986072675,0.5088468484351787,0.2946686841887096,-0.010648073762040942,0.3916959189429252,0.3238575481687255,0.40105805981454373,0.5172814361348216,0.5075168689984222,0.4362121509380222,0.588531631526172,0.4314791804425973,0.5679585406322127,0.546265807438168,0.5502930196997914,0.5298589706569646,0.5101961575097861,0.24236685530438404,0.6169434825230556,0.36197138480261065,0.41978398203273226,0.44372483168712756,0.44417239952053894,0.473142393900665,0.6947712389816552,0.3529494189448435,0.25568844199946117,0.4812409364541382,0.36301836026972556,0.8728506007683821,0.4937259609440811,0.4548288211180934,0.6400275463236661,0.5422611684999099,0.6568136311695775,0.5799451164703355,0.09175822711896668,0.5236424305971007,0.5297988965713212,0.016063455861349003,0.5758440004695748,0.36416349833768213,0.6512823909411084,0.19342029442119998,0.42127984268326335,0.4037333551400596,0.8719040583133459,0.3205839747983041,0.47660053815412595,0.29890769096853836,0.45782283746430896,0.6793240682384202,0.6214874408382577,0.393332160355858,0.3539427496795044,0.3871277561872411,0.3125548040938228,0.47075111830916405,0.3645947175443384,0.7659173043548819,0.48840301925461765,0.7648775608245206,0.24734861157945334,0.4388724269820545,0.48578378817726975,0.2544575736983611,0.7729512619360774,2
6,backbone.res2.2.conv1,0.5804243132361324,0.5045762471807046,0.02413224709511784,0.604299986571968,0.5142075783953197,0.6694224923854709,0.5437386131769709,0.7885186079387725,0.14942107200778978,0.7161584476264572,0.3801024396060708,0.6839239965121231,0.6598379640009165,0.7034255444295996,0.575842929144647,0.6654952666253875,0.6149624760100991,0.6265856620011109,-0.040410460104561716,0.5741413214491211,0.6352441763658303,0.42516161111733913,0.42971189828483003,0.31184642807535273,0.6268692761964763,0.7659067667128978,0.6489360284772226,0.3753927035656785,0.482915858097484,0.5558706858563698,0.4751690481894839,0.6710981605070784,0.5701693692070049,0.3645623324749227,0.6540690945080755,0.17237655377658873,0.5085760343897882,0.6966364964451736,0.3942874312786089,0.3095157985643731,0.4876385494687239,0.23751174467764213,0.38307240653065844,0.41291616734498787,0.6955786773480281,0.6420936021437647,0.48595673839229603,0.46623339285542487,0.37540146302960803,0.17401754627687804,0.7665853541004294,-0.03456670065397172,0.3505027302482136,0.27757208735321665,0.3919858480408222,0.6753738907741417,-0.05936881484471643,0.504093345423437,0.7261156664380577,0.8489083739619447,0.4861435150979036,0.5668208678354405,0.4232296753375376,0.7137524895884176,0.5459216083351731,0.1449624187445245,0.6054812789459798,0.608964122436721,0.40027805223031043,0.5154167482795446,0.46295353053535576,0.3714736631211029,0.6389017444732462,0.35114813063799805,0.5231149122828377,0.6863197815557477,0.6076148532328248,0.44234586166808076,0.45162493496502343,0.2776981224397029,-0.003962383224010813,0.39453781105168717,0.4182979674433394,0.2641794148938682,0.4961510800674045,0.5043497140378849,0.4088914832873203,0.5874631620008803,0.5201877827728192,0.559187210343983,0.5314674798923478,0.5137566488614317,0.6696627369048127,0.5184111447960995,0.29764552160109403,0.6499249863280275,0.3155741553193955,0.4251335065667298,0.43167848525703895,0.4251655212124363,0.5029796160478087,0.7775198842466908,0.38279247615249,0.29829223917588105,0.49517355399267116,0.4162288982885731,0.9039047833596293,0.5205851285312156,0.4521756625207136,0.6155710505439503,0.7053486701809203,0.9044762976765938,0.5725356099619735,0.2971496734341321,0.5523113391638406,0.522776878871137,-0.010924669918557095,0.5943560733887808,0.3567436899076121,0.5800766936166949,0.20045047584334497,0.47020962739325534,0.3956266605233308,0.8714963059539355,0.04468941121071734,0.4801250306729387,0.3188727262358951,0.46710360600652384,0.6265462842721958,0.6106386071604231,0.4890984760909427,0.3019938301621062,0.3162036548686311,0.292615891562334,0.48492378579247714,0.6002613017056981,0.731882985456083,0.4996307840253875,0.704268763549262,0.19291456222174,0.38892941427500743,0.5150459360060865,0.17096228502084868,0.6923801399109464,2
7,backbone.res2.2.conv2,0.4672452910640912,0.5243087601856303,0.19675925270571623,0.642168542689775,0.5125737336863696,0.6833797765703745,0.5911271728805315,0.7979840947273111,0.09590484704769835,0.7260831671005049,0.29847117364015224,0.6788345436991676,0.4849238795285307,0.729995235674513,0.5729314839071087,0.6579830937062369,0.5454928532969456,0.6115583343525864,-0.039809695216834175,0.5820084320206933,0.7838478585897584,0.43569619383797653,0.6851172356286073,0.4027755335694665,0.6836689691559443,0.7191570077206048,0.7581974155099922,0.348713793103085,0.4980562436848435,0.5510563846714474,0.39669989347922263,0.6644147953456335,0.45694207176702645,0.34275330041777263,0.5356539489784978,0.11978251386192407,0.6036119736490365,0.6855068894583087,0.4060441711325146,0.33641721783561185,0.46991345110230653,0.27545966180492165,0.3636665963128492,0.3264315474184442,0.6283220508012298,0.4943462514749525,0.45049823904070696,0.4773579882868727,0.33381080253269513,0.15898509497991228,0.4798067410030482,-0.03064857663298147,0.22150237279087354,0.24180349916075874,0.31078254481658835,0.6868454687172978,-0.02451679280603314,0.5062664062344969,0.8830969442827807,0.6752415152037975,0.43997123489546663,0.5904261311200683,0.42313134647379275,0.634954693844154,0.4872911044350103,0.16319423877361378,0.4471669233661145,0.540280457754066,0.37975519960991716,0.4339020852964476,0.541092524926652,0.2988060591816684,0.6377425646861087,0.3644880334254635,0.4407280627566252,0.753753220680691,0.4686687209788542,0.40373486451509016,0.3835263806872602,0.25905016144944465,0.000506584279376389,0.39516478337459104,0.24859104950345476,0.3854874374307645,0.49619394811680384,0.5947004340647405,0.44787457546812814,0.5077644867495207,0.5354495184405414,0.5601258490392704,0.5469881702940291,0.4673576080238654,0.6950983524177593,0.5268477570098714,0.29642372871920614,0.6119724090890183,0.3781867576635256,0.4422038442613769,0.3981195141133845,0.39837236743667603,0.5090204371397904,0.6261687080137658,0.41674615041564994,0.35085901665502295,0.43077510811057446,0.22356066404964473,0.8948870922341411,0.4977206984265469,0.44610750774372593,0.5123971486258008,0.6394298485538176,0.8912054249263996,0.5554296543882263,0.16274573709731205,0.48911406754157816,0.32427408791043555,-0.007943513462866788,0.5839323869625951,0.29491518409237916,0.6726093110709189,0.20300079640933133,0.40366828164352264,0.400258565188679,0.8248255382200625,0.3074411806941999,0.3987908112360856,0.3266151025048004,0.46851405399464735,0.6688125931090179,0.4550437887200187,0.49536813585229145,0.22068341416301013,0.27577882273600374,0.18184314327408338,0.4916482262121321,0.586093927987703,0.7459975808912191,0.5241699068487661,0.6726759424653728,0.16001800227353483,0.4022768264347377,0.5030332037772627,0.16331916363054222,0.6897380771659578,2
8,backbone.res2.2.conv3,0.5919993562014114,0.5236334491313301,0.022023273168396282,0.6207803522814669,0.5743530558382525,0.6028350724288029,0.5392355621387119,0.6811292405377803,0.17807243786350163,0.6569631388839047,0.38509693152263197,0.6923293080509627,0.6454075271357391,0.5930441865604925,0.563804730772619,0.7456816592038275,0.5504403272924107,0.5855348816499268,-0.03878785030970481,0.5676775103162971,0.7287352621664479,0.4383360491720914,0.5148796590440194,0.41256242215526695,0.6130023988347167,0.7653665194893421,0.7187731205373359,0.303275524734626,0.4947708677740189,0.539942123983605,0.5077633710688941,0.5472764568640889,0.5671805624528568,0.30087564158886915,0.6007240419604774,0.24621743618338945,0.6618328338137993,0.6406496161078165,0.28389868403751106,0.3657349553475006,0.4345102317119947,0.32591552407613167,0.37719417533418864,0.3183101304909589,0.577056118577438,0.4379271188998144,0.3484784478859069,0.38734519517376004,0.2918474146437665,0.3606559160067422,0.7533926842407404,-0.03963197080775186,0.37400000370583825,0.2773851367490784,0.2455558393599436,0.7092982695183575,0.030894022397822817,0.5919856360817191,0.7424382923100924,0.6783088308921523,0.46236217902021925,0.5266438001817683,0.40562200367927986,0.7107714012988395,0.4779105649691942,0.17659306671288508,0.5382653087720585,0.6487877671543799,0.34421927613660236,0.5773689207802633,0.4357769992543922,0.2913166631931547,0.6148783547926868,0.3301183549287663,0.5186938570526128,0.6348806710008679,0.5734076573940416,0.557750945303014,0.4716203578463407,0.30238460163094344,-0.010286298013331117,0.380423605171562,0.24028838379623638,0.3651730551201643,0.5663867284753605,0.4604807683965282,0.4877270906390209,0.5460663309746782,0.5216169130699592,0.5481107264855127,0.46471607459911857,0.6141250073594009,0.6595391488196947,0.52299371724285,0.20262945502041457,0.514247053860504,0.3866536156500041,0.4162032007503394,0.34836204913261454,0.46924228468437545,0.4577791644989053,0.6304146915687472,0.3256899546759117,0.42053109011794326,0.44224984301849113,0.4209981273470534,0.8287913586526772,0.45744498181465443,0.42840430323996204,0.5797079004556244,0.5075767914295002,0.8397122181698333,0.5200472778046108,0.12018500051863172,0.5393805539676092,0.3520762818562942,-0.01162841336307527,0.6069528412318024,0.33295021398332786,0.542561349635865,0.1957491747334851,0.3830160870962873,0.3996975236905695,0.8620849052669459,0.39189547986614454,0.42519557451920204,0.25150014395655135,0.46149670759693484,0.6966940062693388,0.5611388721819357,0.43837307906460227,0.36042831666872216,0.4129387365751431,0.27110251410069025,0.513706754084055,0.6117017947815157,0.769750005480628,0.5162611858621483,0.7813976507131791,0.24638122738586518,0.43071309767744287,0.40038880809416316,0.12658673633990306,0.8177368376437392,2
