,category,task,head,layer,img,pcc,rmse
0,vehicle,DET,0,1,1079,0.5330821114836926,0.05531083176900225
1,vehicle,DET,0,2,1079,0.5862228458889367,0.05170695226467736
2,vehicle,DET,0,3,1079,0.5712982556641986,0.05283054744726302
3,vehicle,DET,0,4,1079,0.5746038330788446,0.05411088355510887
4,vehicle,DET,0,5,1079,0.5638668607970231,0.05055819426003945
5,vehicle,DET,0,6,1079,0.44411487774546643,0.05698269504778555
6,vehicle,DET,0,7,1079,0.22422928443155843,0.08872422664434113
7,vehicle,DET,0,8,1079,0.6035119176869431,0.05182861575415236
8,vehicle,DET,0,9,1079,0.8530763525106067,0.035029266725824786
9,vehicle,DET,0,10,1079,0.8557361502038087,0.0347444029829079
10,vehicle,DET,0,11,1079,0.5085096931494576,0.054317944738976595
11,vehicle,DET,0,12,1079,0.6953769640406098,0.04905535003886485
12,vehicle,DET,0,13,1079,0.30462029528649887,0.059130781034399234
13,vehicle,DET,0,14,1079,,
14,vehicle,DET,0,15,1079,,
15,vehicle,DET,0,16,1079,,
16,vehicle,DET,0,17,1079,,
17,vehicle,DET,0,1,1099,0.6760530532186885,0.04930460799657446
18,vehicle,DET,0,2,1099,0.746473909389665,0.048397079704928986
19,vehicle,DET,0,3,1099,0.7180897067602489,0.04456104369483288
20,vehicle,DET,0,4,1099,0.7100146783588033,0.04829311057402583
21,vehicle,DET,0,5,1099,0.7219391151877986,0.0405308352753001
22,vehicle,DET,0,6,1099,0.5097657167776164,0.05113135542405365
23,vehicle,DET,0,7,1099,0.6038047150649016,0.06486178050408335
24,vehicle,DET,0,8,1099,0.8732617855858097,0.028196707698088637
25,vehicle,DET,0,9,1099,0.9081848544549059,0.024395596751601436
26,vehicle,DET,0,10,1099,0.9045396525421935,0.02464415606530158
27,vehicle,DET,0,11,1099,0.7795065232106086,0.04135148320875139
28,vehicle,DET,0,12,1099,0.7800232011553012,0.03782284654195664
29,vehicle,DET,0,13,1099,0.5194497296896226,0.05305416862067065
30,vehicle,DET,0,14,1099,,
31,vehicle,DET,0,15,1099,,
32,vehicle,DET,0,1,1145,0.7146776771786932,0.06071057314738402
33,vehicle,DET,0,2,1145,0.7429524943823105,0.0614783661885525
34,vehicle,DET,0,3,1145,0.7231862458403961,0.058944897539039594
35,vehicle,DET,0,4,1145,0.8604386560863942,0.05038789609307089
36,vehicle,DET,0,5,1145,0.7549605813394042,0.05080397396882744
37,vehicle,DET,0,6,1145,0.7645938572604944,0.04683965420202911
38,vehicle,DET,0,7,1145,0.41447600380626154,0.07963259058114394
39,vehicle,DET,0,8,1145,0.6144952646167419,0.05404108184139952
40,vehicle,DET,0,9,1145,0.8136820614621995,0.042772861861261655
41,vehicle,DET,0,10,1145,0.4373602323563052,0.06196409017239888
42,vehicle,DET,0,11,1145,0.6208087311127823,0.058455226533698855
43,vehicle,DET,0,12,1145,0.7283703114760487,0.05708719610590404
44,vehicle,DET,0,13,1145,0.4657049326822246,0.06593183086683597
45,vehicle,DET,0,14,1145,,
46,vehicle,DET,0,15,1145,,
47,vehicle,DET,0,1,1178,0.5730273886512642,0.042782955295423725
48,vehicle,DET,0,2,1178,0.5109511727937998,0.04573203215837708
49,vehicle,DET,0,3,1178,0.48068137740683353,0.045638069626782365
50,vehicle,DET,0,4,1178,0.5624316309038496,0.04484263978729644
51,vehicle,DET,0,5,1178,0.7650337930807916,0.03464596219509785
52,vehicle,DET,0,6,1178,0.6118927535366113,0.05093973161919699
53,vehicle,DET,0,7,1178,0.6998729650372477,0.04358457482037813
54,vehicle,DET,0,8,1178,0.8354773979264307,0.028618428843673858
55,vehicle,DET,0,9,1178,0.8409094487309174,0.02825391879586744
56,vehicle,DET,0,10,1178,0.8583699711314677,0.02721360288882354
57,vehicle,DET,0,11,1178,0.848263512500169,0.028803022733529565
58,vehicle,DET,0,12,1178,0.8553723722408569,0.030701207469359896
59,vehicle,DET,0,13,1178,0.43891720027647,0.04719944340357053
60,vehicle,DET,0,14,1178,,
61,vehicle,DET,0,15,1178,,
62,vehicle,DET,0,16,1178,,
63,vehicle,DET,0,17,1178,,
64,vehicle,DET,0,1,117,0.5110953632935222,0.06067934051590139
65,vehicle,DET,0,2,117,0.5090704406198837,0.06164733009676495
66,vehicle,DET,0,3,117,0.569580826356052,0.05786994959552487
67,vehicle,DET,0,4,117,0.6029524319643766,0.05807740214217193
68,vehicle,DET,0,5,117,0.5276859391440611,0.062379572968186976
69,vehicle,DET,0,6,117,0.6125662805373826,0.05501621343106366
70,vehicle,DET,0,7,117,0.38287992705118123,0.08079701528504983
71,vehicle,DET,0,8,117,0.480569467978553,0.0696160116817784
72,vehicle,DET,0,9,117,0.6850378852204394,0.05108354464390781
73,vehicle,DET,0,10,117,0.5487087698511547,0.0580712058317918
74,vehicle,DET,0,11,117,0.5718381296196842,0.061368352260724596
75,vehicle,DET,0,12,117,0.5936162457845467,0.06024091463754868
76,vehicle,DET,0,13,117,0.34805998043560316,0.06749004620235009
77,vehicle,DET,0,14,117,,
78,vehicle,DET,0,15,117,,
79,vehicle,DET,0,16,117,,
80,vehicle,DET,0,17,117,,
81,vehicle,DET,0,1,1183,0.6896976405480318,0.04328782232061266
82,vehicle,DET,0,2,1183,0.6552041404617978,0.043933918639928696
83,vehicle,DET,0,3,1183,0.6483761445617391,0.04327777853542331
84,vehicle,DET,0,4,1183,0.6720023747904553,0.041810599629017405
85,vehicle,DET,0,5,1183,0.0980144755155129,0.07983632923270065
86,vehicle,DET,0,6,1183,0.14897311817181608,0.06771249096235683
87,vehicle,DET,0,7,1183,0.2894078227927902,0.11104007529694865
88,vehicle,DET,0,8,1183,0.8444371959995466,0.031191473197021362
89,vehicle,DET,0,9,1183,0.8454967675603111,0.035442413573151414
90,vehicle,DET,0,10,1183,0.8240436281494583,0.0425072542731394
91,vehicle,DET,0,11,1183,0.648836623183245,0.039956217631795396
92,vehicle,DET,0,12,1183,0.8753925197232661,0.030880844713794795
93,vehicle,DET,0,13,1183,0.4474295985039511,0.047546243115894386
94,vehicle,DET,0,14,1183,,
95,vehicle,DET,0,15,1183,,
96,vehicle,DET,0,1,1201,0.6058765144608407,0.06092572491211993
97,vehicle,DET,0,2,1201,0.5801751405996356,0.060381017741798874
98,vehicle,DET,0,3,1201,0.6805423391249467,0.05601365928718261
99,vehicle,DET,0,4,1201,0.7349289793890942,0.0572375366485404
100,vehicle,DET,0,5,1201,0.6242641156177728,0.0550514832507108
