,Layer,couch_31735,parking meter_568147,umbrella_455157,clock_60363,vase_521282,cat_101420,hot dog_311950,donut_148957,baseball bat_270474,skateboard_229553,toothbrush_160666,frisbee_357459,orange_386277,stop sign_724,kite_24027,bottle_385029,broccoli_389381,keyboard_66635,bicycle_203317,sports ball_22935,boat_442822,fire hydrant_344909,cat_558073,banana_279769,teddy bear_205542,apple_216277,fork_250766,boat_178744,banana_290619,cow_361268,backpack_370478,scissors_340930,chair_190236,laptop_360951,sports ball_60102,bench_350607,umbrella_180487,wine glass_146489,couch_29596,laptop_482970,apple_562059,airplane_167540,cow_545958,dog_331075,traffic light_133087,fork_243626,truck_334006,motorcycle_499622,dog_357459,keyboard_378099,tie_133343,elephant_83113,sink_51598,truck_295420,cup_226171,fire hydrant_293071,mouse_68765,donut_109798,stop sign_100283,car_310072,surfboard_52507,bicycle_426166,carrot_130613,microwave_91615,surfboard_554595,knife_227985,sink_466085,cell phone_480212,remote_476810,microwave_207538,frisbee_139872,bench_310072,chair_81061,carrot_287667,teddy bear_82180,cell phone_396729,tv_453722,potted plant_407614,tennis racket_394559,oven_446005,car_227511,vase_376478,suitcase_23023,motorcycle_462756,scissors_324715,bus_106048,broccoli_61658,giraffe_289659,orange_50679,bed_491757,skis_30504,zebra_449406,horse_439715,potted plant_473219,snowboard_393469,refrigerator_498463,oven_802,bowl_578871,refrigerator_536947,sheep_278353,person_562243,bird_100489,skateboard_71877,bottle_460929,knife_116206,tie_244496,baseball glove_162415,toilet_42276,tv_104666,book_167159,handbag_383842,suitcase_350019,dining table_385029,cup_323151,baseball glove_515982,bus_226154,bowl_205834,dining table_480122,skis_342397,tennis racket_270908,airplane_338325,bed_468245,elephant_97230,wine glass_25394,pizza_294831,cake_119677,sheep_410428,backpack_177065,hot dog_400082,giraffe_287545,spoon_248314,pizza_276285,person_278705,snowboard_425906,toilet_85576,baseball bat_129945,sandwich_465430,cake_189451,remote_430286,sandwich_417608,handbag_250127,zebra_491613,bird_404568,spoon_88040,Cluster,Task
0,backbone.res2.0.conv1,0.31329277431551805,0.15638958070506054,0.26701574863801897,0.407925695855029,0.5947557386085038,0.32703398971373726,0.420708813545738,0.2159413521245617,0.20545342584963452,0.3116719354327667,0.19122075049686107,0.4005844833844054,0.40304835726386906,0.3094089993720037,0.2762048224162348,0.23365004841588902,0.3324542819701523,0.2371879587744265,0.2861949879539277,0.34983861415660605,0.1506655806292186,0.280014210664574,0.25238153049812423,0.2512928986858251,0.28861201314209695,0.37488644196004767,0.3225823255876179,0.07862085773377046,0.3152354858017028,0.3624846663727611,0.29968760099983566,0.31611009343701607,0.3026461971023242,0.4049211574188675,0.24666631293917024,0.16783960007032134,0.20819241199899585,0.319552384104623,0.30004030456823044,0.3155017426317597,0.29084077268076264,0.23592269211547262,0.5080519954602682,0.3658192274601405,0.3834439467537728,0.36400308649299984,0.18891639228268492,0.3285089574745736,0.317121093330602,0.258689924683016,0.2841105800085555,0.3691278093323539,0.4031551938366726,0.15121261518566195,0.3859242486538887,0.2802642179830711,0.3668436277996382,0.26946270234224123,0.19972289856233616,0.29545293441320947,0.1894740912138511,0.4465253317513291,0.2121300847750897,0.29046634758019135,0.2575737319571177,0.280919933729235,0.3598087854284266,0.6011971025255171,0.1940926551110961,0.3215203142611131,0.3586527167265252,0.436368739118052,0.3267816485341467,0.14731573472254947,0.15016954585507808,0.2798664363204481,0.21869242956919446,0.5348605015127391,0.2873569871630743,0.4145966339190415,0.1762401610304284,0.35253226141052035,0.146765022149282,0.27166837613975475,0.23689203207482423,0.35406514668753347,0.2619456853352878,0.3593498816655717,0.15411941193019751,0.5484177343595159,0.3472115250718114,0.32422015326300374,0.28783345379510195,0.20392979481380008,0.42917909748400546,0.3061046026819306,0.2518283143936217,0.3832873994858967,0.23753923819733383,0.37442197716432396,0.3985102735490197,0.21647149986544428,0.1912370892951379,0.27442783461896153,0.243540128810084,0.3923225281024094,0.48804120952028396,0.29941508015479595,0.35539009465996735,0.30360808680259427,0.3578897898202591,0.5944865183759926,0.548369564528202,0.31927048408544406,0.36845380992846616,0.3159092526234235,0.28367964028808196,0.35050238149032825,0.3578905811362634,0.31570003325302054,0.21902555574555174,0.35351344920863564,0.18758713057235987,0.31584258969778134,0.28822082848328034,0.14820510085438318,0.1678979901230531,0.2583840672280842,0.4696772932854804,0.16924702005481124,0.27159548570002073,0.14402958652020637,0.27714080491412585,0.20405322385378766,0.3175781090930175,0.29264135278636183,0.21278238980062694,0.3604110525956598,0.37441868035609577,0.15031606901754033,0.3828075830921744,0.29770611281808207,0.4028869010206649,0.32391217683270573,1,DET vs FullGradCam
1,backbone.res2.0.conv2,0.3350059510421277,0.15051510282552466,0.24875987201317634,0.40775848947822124,0.4461389329555312,0.29990353253396845,0.1201137276075929,0.23266213794009158,0.25301726274089403,0.32728245188809624,0.19578986065336695,0.38867478450405873,0.40383877936705187,0.3008234315455997,0.2794781194308465,0.22618965143736064,0.3231535508318839,0.24531852015800318,0.31576246755321324,0.3450479112795977,0.15229726131377275,0.09991432464387492,0.2735047198566724,0.2581634581962168,0.29524521542995846,0.3980025899681822,0.32731684981039183,0.07008017954460512,0.1985538276885317,0.3884401881842001,0.3059500109055811,0.316219977725752,0.30158187707135536,0.3898033221223923,0.28166265020072484,0.09729168074449178,0.18683085594134208,0.3389476853806065,0.293573328400664,0.3165613069922229,0.3017045693099783,0.24514292406439048,0.5242453426592635,0.3285941301787666,0.36243314912495067,0.28367161281346676,0.28807448484509934,0.2046962668836207,0.41452178846663357,0.2858140253954463,0.28602857212585475,0.3593595729449001,0.4018226518176413,0.1538354853038214,0.400928629536167,0.22882038333376614,0.32891796408050494,0.24558373171721673,0.18872711775245596,0.29962667552866934,0.1847169406780871,0.4583917691762575,0.21420639650618187,0.2987798355170993,0.25379798678499726,0.2644340380451053,0.36466337926262143,0.5926401726021435,0.16603048617414012,0.36819742885064916,0.3408161112943261,0.31480577269574284,0.3397954942589775,0.14245051589228613,0.13489018369991257,0.2914168791688717,0.23607150265712576,0.4975102682947126,0.15874238057487128,0.4027748227184922,0.17323083900076913,0.23623189378223708,0.1402187232400723,0.32648216775175,0.23352993242690792,0.34064309859640635,0.24921397394956615,0.36168574703806267,0.14984881249270676,0.5319818941211238,0.3493345089885813,0.32961972828313,0.36657042075051977,0.2026449184731021,0.4213732171930847,0.47695393103448525,0.19303735403726843,0.37612838665822435,0.3491620651772942,0.1649036753319619,0.3712904826077675,0.24972198828768766,0.17438812606553541,0.268001565291418,0.2635133751151621,0.30508161266324557,0.42784215726670194,0.314013437347194,0.34522097054247236,0.2848980113093566,0.34496514190034794,0.5545869253927509,0.5755174650364057,0.3061885899364754,0.35543569469530684,0.27147691708982563,0.2798717788281491,0.24772641052847055,0.3402769041388689,0.347163573430826,0.09974956695461938,0.34033025987879545,0.20773476463390364,0.2450346361872366,0.2868581356719653,0.3144467462039115,0.232998643934289,0.25770437994303713,0.4223754459719198,0.3290937503965828,0.271494486484852,0.10716430142347674,0.27067128444091576,0.1865662006198091,0.3178633038704918,0.2861930889430276,0.21055950843104138,0.3288889198515657,0.371582817589037,0.2516509378648596,0.393017709250887,0.28005571080748765,0.4719783555254147,0.3270347217345182,1,DET vs FullGradCam
2,backbone.res2.0.conv3,0.32868368650576285,0.1626762345888382,0.2752165664848181,0.4007173649759891,0.5618219465430637,0.36994963156183686,0.3946334260020672,0.20277128423351998,0.20041154567853942,0.30711846465433684,0.17965187753370518,0.300662971600436,0.44864459107467686,0.3646325081886234,0.28677897841064093,0.2379265795037982,0.32996194064706474,0.2426774438652681,0.17913892342144427,0.35041031412987617,0.10250501973622149,0.07779361132895596,0.231999442507342,0.2557975737283286,0.28482513193505005,0.19689352007043823,0.3242679488648986,0.09442557278115518,0.19593794206868567,0.2982355124659877,0.2763377150225305,0.334066023110376,0.3457103318475504,0.36713315123689144,0.26933067556353,0.40731471669466374,0.18678994972659294,0.32972848161220447,0.3078588510764488,0.3162361670915033,0.31181298846755395,0.20814687829395176,0.5243774726861722,0.3298401528534174,0.36213726167110705,0.361894683224525,0.2670364941838652,0.1783555852613521,0.307019191755661,0.38285694675327747,0.29861937981410586,0.35175760297021136,0.40101075058190166,0.14740091287442406,0.40417549707976713,0.234788617690536,0.33388323786336743,0.21972640030190915,0.26721746190581774,0.26184318185099287,0.18898579927854975,0.43985374522636767,0.3074767830074433,0.3093441896507349,0.26075699897410803,0.28763941978436897,0.36512396647025114,0.6076621193455536,0.13380335483016056,0.35969771652904947,0.32080066424289666,0.37396927028847166,0.3134412207269256,0.14653495378669223,0.3447992141803835,0.2755214456373099,0.25638505572491394,0.49071358861767345,0.3888105368046044,0.39154175967602195,0.231655554250548,0.28749184251839227,0.14252542338337942,0.35789714704731757,0.23309673684856966,0.24020508451695366,0.2808408267631418,0.3603538443469859,0.13957421058434427,0.5456113672595804,0.34242264601507316,0.32217670406549265,0.2954715730753626,0.20537135580663257,0.416647477653785,0.3554959740909548,0.27051798304620617,0.3891438478695321,0.36972738798617216,0.16956947896789368,0.4201290861561159,0.22253200278837545,0.15386992968665492,0.2590412840347061,0.2532168301909489,0.3117888268860681,0.4122638173252659,0.24964832446593357,0.3536212319183048,0.27537362927192827,0.3093005698920871,0.6017767899103457,0.49207113243658773,0.30648486886453996,0.3144646988012126,0.2866914202347145,0.25931225917414136,0.2699399609065718,0.3092822547670695,0.34626187971430905,0.06755964797627884,0.35740562734333636,0.21140835008560743,0.2778457704881964,0.28526282654328994,0.3666303253202063,0.1709849552746649,0.24156840812198369,0.40570919490802776,0.20679217451054643,0.20933879203566189,0.10951971629872144,0.24929514581105566,0.1771448789808573,0.3372404649311104,0.28265531455755954,0.19080298397567996,0.31845393971697283,0.3073067636026735,0.19960505867594844,0.29426796103070446,0.27887765269029036,0.39947331656367097,0.316166771426427,1,DET vs FullGradCam
3,backbone.res2.1.conv1,0.2599940386393428,0.17050141762088852,0.18820205764294962,0.40449842306881745,0.39539455901920373,0.35192064282687796,0.4424299759331904,0.1939316135262117,0.21506125241104293,0.30138282392907945,0.18830580907129785,0.2995507102482268,0.39752665070225207,0.20586662245833762,0.2708013647190269,0.22986509561506324,0.2930834798388408,0.24191690900146262,0.196686535201344,0.3389864409159576,0.1371003125720199,0.09443769939707314,0.23094638982761184,0.22936460451076832,0.2943314645246987,0.2955247066669157,0.3138282309187947,0.09277042876148096,0.19635283508990717,0.3948664009759882,0.2727558405363384,0.3165837391062914,0.32506642902750144,0.3914552540940898,0.2769608026373299,0.3320923858489464,0.23818971105877526,0.5935369425928186,0.31845175315041735,0.30026646273436164,0.2554994218264921,0.19599882706605326,0.5279284866202976,0.4006719058084796,0.35537374754388745,0.3577734614194345,0.16287705005786957,0.30914139255912343,0.3653668551670177,0.23588620934099266,0.3672603562110877,0.351147001437022,0.39978014351724256,0.1289162904541264,0.4006889143006153,0.20577385552701258,0.32310032436454306,0.21436257562262062,0.30810748347990724,0.25802158649336154,0.19562016450975184,0.4334787870362818,0.2120084007480534,0.3062343225695331,0.26451583507958715,0.29546972812286615,0.3828683583149859,0.5956263268130889,0.1080681118686449,0.2610235794469279,0.31930321767398945,0.3680501131835019,0.3205515331142145,0.14463039815800527,0.17019651913948688,0.2763797590723901,0.2878850579396083,0.4866246594445872,0.162250894668423,0.3080455597953043,0.20888721136617946,0.28131586343287607,0.12821137557501916,0.3123118533802806,0.24142570166970015,0.2028309461836617,0.24842449930368268,0.3299688486908089,0.1395803493694156,0.5245882137150706,0.34371169762216447,0.326763141726935,0.2642743220171202,0.21564455610443067,0.41456958035677133,0.4712452386614893,0.3217120064523706,0.4000701607565529,0.35688771999606134,0.36713591021655484,0.36950324825986947,0.21995201003713646,0.1592521407886046,0.26225649016515695,0.2584728468422514,0.3952537224061853,0.4072039065992908,0.2584951367721458,0.3550231874401188,0.2698661106655042,0.327319412224182,0.6043333234181932,0.5400815503309198,0.3171507244926132,0.3080915339466767,0.2616782545755544,0.2590361968681694,0.2563304355159333,0.30227439883027235,0.34886330245243424,0.06755735252817262,0.28427706779759787,0.20214777296729525,0.2779196305323143,0.2719734059074003,0.16310729795723194,0.22075819239966404,0.24787812769199186,0.39646693073254147,0.179189704190447,0.19266542609394874,0.11369300305145616,0.23944340458296082,0.1876208189528445,0.31844878750456856,0.27944643284507253,0.20939369100392602,0.28199705490905513,0.32370205829036364,0.17280997155163133,0.28742076745524503,0.331458141536356,0.4585733588985877,0.3151721765988141,1,DET vs FullGradCam
4,backbone.res2.1.conv2,0.27650593956705743,0.1468901119386961,0.3631683643689429,0.39918770469422754,0.5532757316439507,0.29273099190623436,0.32531782988824054,0.19356829981580184,0.2429926366048423,0.3151134738534537,0.17136911189871498,0.3128006854648389,0.4058419411575877,0.23486226999887325,0.2820580982999158,0.23828140349673974,0.28647229682315195,0.2447465083892884,0.2888226697331914,0.33403163474552905,0.09694014591229021,0.08201332627616334,0.2075362484815653,0.2557856611014462,0.2909784405852296,0.28757312486234027,0.29589714469860445,0.10043680790043201,0.20084340020735017,0.35424666047830883,0.30941393400081907,0.34086492881071584,0.3061983373262764,0.39280716891623363,0.35447796826803335,0.11231407488556246,0.20803936484328833,0.3159268498418677,0.3093298330609825,0.30143540504084165,0.2838172622924642,0.20808620492803415,0.4738229378609039,0.4154420704564427,0.36170098022831965,0.2713714570578798,0.1692490772269236,0.3058440236866104,0.40365052247775474,0.3659457723353429,0.3320703687901709,0.3498850295034819,0.3988787908208105,0.14124246859332787,0.3986701644996536,0.20934928733112387,0.33273959456791397,0.2848113304046619,0.17846262735737375,0.2633074918204251,0.18688657569112707,0.44698334065746204,0.1966043233943763,0.3058090598768279,0.28302686576873776,0.2797949514100747,0.4142778205901675,0.6009141766959096,0.16153485827153202,0.273052397207453,0.32841012453504076,0.3855139281703723,0.34783470187823784,0.14616736932318403,0.18270900512494717,0.2749286606956264,0.27922397812625643,0.4997310595536822,0.2407004327561424,0.30228305658665183,0.22246063877530853,0.32590431961633204,0.13501726484620907,0.29616062765092965,0.2754937666999773,0.30954948928835907,0.24543884135748392,0.3702703182764573,0.14222720196277333,0.5243528025612133,0.3313571554203873,0.30624370223408875,0.29552835311331527,0.2177698160881474,0.4165476899649807,0.3606883182167191,0.32075144495913577,0.3953622057737268,0.16199669416902412,0.11629596441622943,0.2591018864475273,0.20820384832309463,0.3509525289671409,0.27555517117851336,0.2613108889393941,0.31406731407735183,0.4020032060457432,0.24686513942799473,0.3543488467868841,0.26622222187254546,0.3333098814647582,0.6184101940144676,0.5428007522768383,0.3101885611307204,0.32018899822619623,0.18853907028292552,0.27100690272830397,0.2588836541905268,0.3053120395785803,0.34932609745957466,0.07196337289034879,0.2131971560453067,0.21013200651830888,0.2303508135825148,0.27548929247197773,0.14669261282230062,0.16234897632635675,0.2551705592103477,0.4043358429873111,0.18829132254816683,0.19905195753676452,0.14683217162259882,0.24730788664864942,0.1867415744353011,0.33292082353321417,0.2929961397828457,0.20570022441170144,0.31772966207264225,0.332242564379599,0.1624502664084254,0.31205773884521515,0.29873363267422626,0.42144149326084834,0.32600471504257594,1,DET vs FullGradCam
5,backbone.res2.1.conv3,0.3172233312134603,0.25902383652819416,0.33656729649123823,0.39884212135592806,0.5729178131072065,0.33638033858722177,0.12437739643426528,0.2014394909451123,0.2568984764152411,0.3224000829910508,0.17488161962505588,0.2831121167844396,0.373112786790956,0.20697401542126545,0.2886516262029632,0.23286721444397315,0.2946480737617044,0.24396564342257532,0.3247688607150551,0.3496105409952139,0.16093944324328718,0.2207517658233002,0.19375419079618053,0.2511443022716339,0.29202914847973943,0.21587319911039182,0.3075568701958333,0.10350165806074388,0.27248383509439755,0.25851126406550606,0.3055845794094411,0.34858865053368476,0.2989054673739741,0.38626622792192417,0.2699308849062542,0.1270427061282346,0.2466157140520011,0.5690190161445704,0.3107633072893651,0.30045819309486466,0.297837509184068,0.19708357464261572,0.46697450225850123,0.3836277914073424,0.3676089713224261,0.3629612104374379,0.24285867446045292,0.2944819064472951,0.3660285551100375,0.25435394077479484,0.27774666843541007,0.34566834371187793,0.3995116836949769,0.1481891732841727,0.3654641070216647,0.23242058363851037,0.3398838545625793,0.22479222810719143,0.18476794435724847,0.23219610957437173,0.18907017287861252,0.4348762485951523,0.2398764134702902,0.33083929168510623,0.206224088835434,0.29552251731257445,0.40469530438668977,0.599820416341647,0.1580563229563409,0.25099865842436564,0.3209255847301542,0.41110211596050295,0.3143215878401287,0.15695604029089708,0.2106379174508174,0.2899308244474795,0.29559433846007294,0.49018227068287795,0.2583280508751541,0.40814590146557994,0.25937185600232626,0.279214665807832,0.13879486590494503,0.25231831789244985,0.243814747088674,0.28928554625001884,0.2266187529786118,0.309112117981047,0.13376763195342564,0.5330567035966224,0.33410091885849447,0.34354336561665605,0.3763948632077677,0.2082252365928297,0.4242138872260854,0.3623494031684762,0.3290412971906472,0.3993974580782809,0.3209236460484271,0.39045604696270414,0.33613371366528744,0.20835915780236197,0.16685629506234137,0.2610202202477803,0.27914520269687154,0.3110227882941122,0.38741685550396043,0.2810350971696973,0.36279133880393416,0.2756326542062083,0.2981835485852339,0.6169389670173316,0.5685804022664741,0.3105748946907633,0.30750351404059556,0.18321019214395928,0.2613802025475115,0.33593356827409043,0.2985131685543412,0.3459640449521952,0.07304982991506592,0.20309334600086867,0.21140846028914068,0.22504014665948674,0.2733831476958661,0.14237425435404247,0.14205832573039517,0.24385924523417715,0.3842175595075314,0.20069267775390676,0.2204383083446746,0.14698482467942986,0.24599092572288606,0.1730347502529726,0.3145503862176528,0.2900212187804563,0.2297158307689736,0.3267706634767972,0.3245446764322544,0.18891919290293033,0.30233322473060653,0.3012612292477597,0.46249109226502905,0.33261386389347886,1,DET vs FullGradCam
6,backbone.res2.2.conv1,0.2328480191457852,0.2698087903344454,0.3633470658649671,0.40650088603321194,0.5591207870701648,0.35539189341801297,0.35282117263172785,0.19465998139278606,0.2030107073475445,0.274620597314312,0.16983842871945223,0.29782189661282477,0.41939537302034857,0.3487487226390184,0.2900919283639739,0.23804147766603492,0.2911441501784948,0.22491125785401725,0.22295493210151018,0.3412280220089468,0.10476611506450483,0.1514234583690045,0.21577187867977524,0.25405252703707737,0.2826097420264906,0.19123889151327517,0.2921903243437764,0.0987963951948545,0.20599263569561896,0.38921590599298733,0.29567292455401967,0.3092026969667693,0.34916606807742984,0.40204943225370354,0.28134130366861515,0.41508346905187005,0.24584020559637598,0.5814008308276819,0.3341977147119871,0.3516994279946019,0.25554552806265113,0.1958403920666613,0.4757162879374705,0.3956156038805748,0.35625612789369887,0.354713053805294,0.31746215830241453,0.25937212045700236,0.3604411620120161,0.23494166967003305,0.2595522085004959,0.3553230935329113,0.3893242895142305,0.1307659159116568,0.39972626532420685,0.2849327496152479,0.3104206694742499,0.20901307291664853,0.15783697110865855,0.25931419874050526,0.20044591807835907,0.4487457113355912,0.325964924197058,0.3187813709280011,0.2900404370626551,0.29429652665729167,0.38893077450562624,0.5948287474074265,0.15076320235095853,0.24157007590602905,0.3251799454509643,0.3867249818483794,0.31846770429233534,0.14073054308649263,0.16689615893024484,0.2950032197739924,0.2918668990112458,0.4891943615574739,0.2502900682005077,0.3592146398533965,0.24394150278246599,0.3027725856841776,0.1147794000222656,0.3240862760275968,0.23128763828517657,0.2230394532989096,0.16386966720537202,0.37400109536798903,0.13800946831937277,0.3202371007256314,0.3421593444237083,0.3031059821535318,0.2820631560606253,0.2353823235914947,0.42239626887877946,0.31826648476273633,0.335180539111732,0.42730697862856837,0.20860932667761337,0.10851168459909474,0.3654163041947976,0.2181614229607545,0.18900020650678664,0.27115507735378486,0.24893049597316624,0.34452490697365096,0.3818271799388421,0.2538766291718508,0.35931697389300005,0.2646441722395437,0.2969346175786129,0.57602817269403,0.5677052246505362,0.3054936108443812,0.32080256299467574,0.2657186427964816,0.2581109751599844,0.26769942041351286,0.289345115498398,0.3460880533212025,0.06277110872867181,0.2961462349758831,0.23358118991129562,0.2648360805535995,0.2679433623383795,0.22299850573324603,0.18615504526778862,0.26046675811522163,0.37979042083726117,0.2229745996315472,0.1973758750273893,0.10213751709599418,0.2431574779147662,0.17464060969633108,0.33906419745823074,0.29265689592645944,0.23198504173601908,0.29147874606465335,0.3048595617578326,0.15749139220233035,0.29386227503109985,0.28235580812306194,0.4091236915764308,0.3294067647501436,1,DET vs FullGradCam
7,backbone.res2.2.conv2,0.23133548432171266,0.2196739670396745,0.2376125206475564,0.39705609263259795,0.5586683288400556,0.36142337526419627,0.37654422369250184,0.19902580610730553,0.22179066653248025,0.2742972772165796,0.16669949384156374,0.295740807015674,0.41376133920949193,0.3749420801961224,0.2699274533765412,0.28125616913784424,0.2937473036540404,0.25109471812354356,0.31955367087964787,0.36251804828327017,0.07330128262513691,0.2645922661241769,0.2248913539616088,0.2796919015553558,0.31657123165776097,0.3678689649075221,0.27192565214380254,0.14493760091835994,0.2894508772236993,0.32008074921356333,0.2760909172515909,0.35639558844346647,0.36357371867413274,0.4260326823367031,0.3787960765664385,0.4069041960496901,0.2558651268849364,0.5796938973109231,0.31906271509201334,0.3831612653313948,0.314622178770813,0.19823531584328308,0.5153781343311378,0.4006036838848051,0.3835554961404312,0.3640445048715621,0.23846232546338372,0.32234706647472305,0.3734727290827461,0.2526108860804317,0.2706954309989923,0.35155478317101024,0.4031272546984486,0.12464323215058264,0.40475455985686176,0.1987482381735099,0.3200085686467731,0.22603859458007175,0.16656143074231267,0.2864742767727931,0.20588041154802508,0.46829265474522724,0.24684178743658142,0.2935477537997981,0.27756803066227415,0.3252294543887911,0.37484328817322793,0.5906548355932135,0.14719631620725757,0.246829958431381,0.35950318055973957,0.3343772290585777,0.3178791607332687,0.13973581861373546,0.1604383314156964,0.32381987336625584,0.31753677577029055,0.5077527143240527,0.26647327498268053,0.41287623086783126,0.16211311456435995,0.2951670008134256,0.11442429258846748,0.2686488089274557,0.252849628165313,0.14706009650246038,0.13631804255593377,0.3310144559148435,0.1471473410503602,0.495769439379718,0.34356572286912956,0.299939109179549,0.3896426531066788,0.2736583114368309,0.468789135446686,0.32979566698895396,0.20297308308655457,0.462349955101998,0.2042878351822897,0.12153828021755068,0.3049306182484202,0.2056480114145221,0.2355544261456391,0.27647255407980176,0.28567616342089885,0.40186932714938395,0.3999398493297628,0.2744040981232022,0.3835231448974465,0.26344635787317716,0.3365653917832326,0.6042420795647027,0.5730134467092036,0.2860481069992013,0.35278047412317154,0.19040707934985382,0.3355865525497687,0.25363444673130525,0.2835190462566138,0.3459007041656998,0.07805488432073679,0.2523601188491145,0.21880971159859983,0.23236257097399504,0.26856298184190625,0.3467053097333615,0.22613304031012188,0.30099077749752257,0.4159624789696905,0.2577921948019441,0.21417949546961726,0.10204376564056696,0.2700946853782216,0.17348721501637962,0.33129089629701597,0.3481379016829472,0.20011361826769278,0.33184934844372704,0.3026347130771009,0.15986215921270552,0.3317902370443914,0.27940099930411333,0.40926563670113236,0.3562602575409464,1,DET vs FullGradCam
8,backbone.res2.2.conv3,0.259207894345149,0.25038453672150685,0.25709197697436387,0.40950595623876246,0.5858218014553809,0.3338388555667463,0.43683156290690545,0.19985699026927217,0.20221860894937685,0.3055214467779354,0.18347671921333183,0.28216303381574154,0.4228706219655417,0.2266025749226086,0.2666367070022813,0.2350927515170889,0.2971398352117103,0.2478274744473285,0.2446602707183674,0.4005765148489315,0.07912549458599141,0.08061333498181475,0.17226436255757707,0.25122743604267533,0.2821200815245369,0.3989281756957688,0.3205809754601616,0.15189606061730737,0.19973941505491968,0.2914436664182145,0.3191401398094323,0.34820506408799085,0.3137374256917168,0.39166806247328095,0.30203695859435553,0.41025221706159815,0.2330306372516732,0.5758653429153688,0.29823029711235893,0.30460854504525564,0.2841469348995668,0.20822093866076533,0.4826137200222877,0.2774329908753902,0.3879244096343664,0.30784257625152045,0.26708118255027063,0.3292648923813616,0.3456921971270061,0.25642984384425066,0.2863466271839392,0.35065896843115046,0.41527807274939005,0.14993666230601682,0.34288651999660247,0.29064823082526553,0.32605994714642744,0.20686518073250182,0.2276215609016888,0.2758268520734593,0.18082067043845396,0.4387969077046944,0.27453046276693627,0.33030813090794414,0.2510401636015128,0.3249726201098577,0.3577927680889218,0.603046353459427,0.1384744242709872,0.2696539654406105,0.3054164860009715,0.3948380573039535,0.3146531028120721,0.14943451837293584,0.27468114151417805,0.2792779056566988,0.3356350579621237,0.4615534963855689,0.28293300502172397,0.41078900495748044,0.18291500197919647,0.35667601071620775,0.15811879110313368,0.36416624559643784,0.28883625571423416,0.3297242692649492,0.23633330389029777,0.34207700538634506,0.13842329829515157,0.5305380874645294,0.34013003261417374,0.3306477062917395,0.2929308639897087,0.2252492513002573,0.4454102583692528,0.3636080416146523,0.2476821199955855,0.4087597091512176,0.19211004830225584,0.14881864301243475,0.23942606999616003,0.20527694201321772,0.14964461422994213,0.26527403937205096,0.24752162875246758,0.3161301855307167,0.3822119125071645,0.26207889022822023,0.3766268567587691,0.2962053763885484,0.29937940386085626,0.5822515038184277,0.5076094122385237,0.2760221694858312,0.33213659892480074,0.31309015192956946,0.2619294166185882,0.2834725405257561,0.3052968899927952,0.290817241215954,0.06724111603131683,0.3557716109898516,0.21599073539197325,0.22643233837385168,0.2929616172652749,0.1524768048731413,0.20143898408946884,0.26173782368143933,0.41873292058468153,0.20142008301436737,0.26003714555239316,0.10859505459786638,0.26288189363706504,0.1704829035818244,0.3239295087898264,0.3234112911166876,0.18959856809437953,0.3094716829151425,0.31837857901100974,0.19445120086916898,0.36028211187383163,0.28048423267324285,0.40389829003207206,0.34904228552069166,1,DET vs FullGradCam
