,Layer,couch_31735,parking meter_568147,umbrella_455157,clock_60363,vase_521282,cat_101420,hot dog_311950,donut_148957,baseball bat_270474,train_539143,skateboard_229553,toothbrush_160666,frisbee_357459,orange_386277,stop sign_724,kite_24027,bottle_385029,broccoli_389381,keyboard_66635,bicycle_203317,sports ball_22935,boat_442822,fire hydrant_344909,cat_558073,banana_279769,teddy bear_205542,apple_216277,fork_250766,boat_178744,banana_290619,cow_361268,backpack_370478,scissors_340930,chair_190236,laptop_360951,sports ball_60102,bench_350607,umbrella_180487,wine glass_146489,couch_29596,laptop_482970,apple_562059,airplane_167540,cow_545958,dog_331075,bear_519611,traffic light_133087,fork_243626,truck_334006,motorcycle_499622,dog_357459,keyboard_378099,tie_133343,elephant_83113,sink_51598,truck_295420,cup_226171,fire hydrant_293071,mouse_68765,donut_109798,stop sign_100283,car_310072,surfboard_52507,bicycle_426166,carrot_130613,microwave_91615,surfboard_554595,knife_227985,sink_466085,cell phone_480212,horse_382088,remote_476810,microwave_207538,frisbee_139872,bench_310072,chair_81061,carrot_287667,teddy bear_82180,bear_521231,cell phone_396729,tv_453722,potted plant_407614,tennis racket_394559,oven_446005,car_227511,vase_376478,suitcase_23023,motorcycle_462756,scissors_324715,bus_106048,broccoli_61658,giraffe_289659,orange_50679,bed_491757,skis_30504,zebra_449406,horse_439715,potted plant_473219,snowboard_393469,refrigerator_498463,oven_802,bowl_578871,refrigerator_536947,sheep_278353,person_562243,parking meter_333956,bird_100489,skateboard_71877,bottle_460929,knife_116206,tie_244496,baseball glove_162415,toilet_42276,tv_104666,book_167159,handbag_383842,suitcase_350019,dining table_385029,cup_323151,train_90155,baseball glove_515982,bus_226154,bowl_205834,dining table_480122,skis_342397,tennis racket_270908,airplane_338325,bed_468245,elephant_97230,wine glass_25394,pizza_294831,cake_119677,sheep_410428,backpack_177065,hot dog_400082,giraffe_287545,spoon_248314,pizza_276285,person_278705,snowboard_425906,toilet_85576,baseball bat_129945,sandwich_465430,cake_189451,remote_430286,sandwich_417608,handbag_250127,zebra_491613,bird_404568,spoon_88040,Cluster,Task
0,backbone.res2.0.conv1,0.22644439478357153,0.26444451200604363,0.34886852515022754,0.3093033354888671,0.27121106593481886,0.2755633520661904,0.31635246410170353,0.23217312696784095,0.1798275764901165,0.31191896460984453,0.36019066183647025,0.25628620912703504,0.36498312538153826,0.4309151009918664,0.32518811928060104,0.20866916507155583,0.22220279676418833,0.3112491702839277,0.30912210380789495,0.23372442682113265,0.3750283581518273,0.10387934539437602,0.32556242331482255,0.411813907729003,0.30213855685400454,0.3644125703282363,0.3469905467814361,0.23626210202607598,0.20393743372800396,0.3081007548492941,0.22253213857320067,0.29202225977486257,0.2990761735031569,0.2808018491551082,0.29492804492112934,0.3273381633665261,0.35308681567651173,0.30103760278052094,0.3824011425229561,0.3486199306437625,0.30782409465778643,0.2900229811782093,0.32312770801060337,0.2853817576318364,0.45797378252460147,0.2905630845391229,0.41500459058642314,0.24971262459729884,0.16601453691580004,0.33109973955658206,0.23058399014059125,0.367995916211047,0.3141172539506024,0.37173994411447836,0.3155331502847865,0.32750768057874524,0.3691239378911126,0.23879615578676355,0.36235925766015786,0.23834310486850993,0.2813882334977634,0.22861362076370387,0.3300178620265889,0.38165360064349696,0.22682357782009274,0.3069207713422344,0.24918147254393708,0.33410833764833525,0.30002761006821654,0.29324651014467157,0.30171504808918365,0.24069404736147834,0.33948401934199557,0.3760913006889344,0.414257311364809,0.36332271885421136,0.1336485687441512,0.1737887156768839,0.36983385588902146,0.3360421216689825,0.3041004690743582,0.3892326995953285,0.16362820797095617,0.26253655565698,0.25620542805802093,0.3672241248475387,0.3334091897769151,0.35204025466624866,0.2954098921679677,0.3466310935691831,0.13737654350926587,0.3461631599479075,0.4210522365300169,0.3171832524693858,0.2854665541156294,0.21942190157354785,0.32708437197353674,0.2526564643782016,0.45513586936091677,0.39410508581790765,0.2819436601962092,0.3418061971656662,0.20158976570809448,0.32980460304722037,0.46218966011643975,0.355066693566731,0.20475516808656402,0.2095493795215944,0.22826449451933642,0.30503777653507763,0.21416310067741984,0.44207804081624685,0.291086854411681,0.36638901871333257,0.30375875363957106,0.3714093305925684,0.43086417908897784,0.2717825042649654,0.19678467465338767,0.350978903167276,0.40139132868026883,0.3648159681891338,0.32712212646151284,0.38803791345055955,0.428596018798448,0.34604408158764244,0.3563585625769419,0.32023576240339596,0.17544838987924544,0.300355053817423,0.4002419091173228,0.2197813041110631,0.16617921501853422,0.29128309433366095,0.3782254325557552,0.23186159226705338,0.19464349097074968,0.24773136328922757,0.26052595494126723,0.35274822811260076,0.3182967411621718,0.3234233145345312,0.2857072817393714,0.28735415945867987,0.4198330749798587,0.2569037622872213,0.336999115379906,0.3512227392813789,0.4131890098000635,0.28374178908169373,1,DET vs FullGradCam
1,backbone.res2.0.conv2,0.2500559358298616,0.21099125680354114,0.35636344599816294,0.3007232221432273,0.2816571684987454,0.3111538629966055,0.32255218563245347,0.2165437482712853,0.19103396746133497,0.3147651425769837,0.37608990815271554,0.25014525591897324,0.40913592990024805,0.4357828248033839,0.3838302538258841,0.20255230602722119,0.2326652810782181,0.300913813383806,0.31814557305185936,0.32712020038615813,0.40642768203006135,0.09144985625517112,0.32715887780120245,0.42237650262658066,0.31066719986633096,0.4035503318319746,0.36263102219579485,0.23926835980839517,0.3146412654838195,0.3068684768393337,0.20688870326184106,0.30686144633514345,0.2863882062133243,0.25053567709157165,0.29552697857562094,0.31133169238118075,0.3584088567995044,0.3151337864079587,0.2972918439903897,0.3748430948635897,0.30700303520464384,0.28968032138349187,0.319424335185042,0.28939653015941996,0.44693903513858835,0.24120020435342782,0.39172208835512196,0.28275885856810645,0.18331625383942585,0.3258090947055822,0.23736606774654184,0.3462507439993641,0.29262014893107796,0.37141879164238906,0.31374401808725516,0.35177278000909024,0.3801714503329519,0.24735766257041844,0.35311515617418654,0.22421220907050704,0.27439006065545773,0.23462935851163524,0.3395753833376745,0.1556500154616152,0.22836119018438597,0.30723161121535203,0.23499988835138064,0.3233753391855867,0.29473315713739123,0.29137549764653176,0.31001403006419426,0.2749692073577534,0.34135199946522565,0.3759837681124111,0.4277527339444506,0.37262130871165794,0.13136754789843444,0.1946674714889537,0.34675284670152495,0.2909197420915844,0.33533725599534153,0.367587955709152,0.15585796386584586,0.24815735361517194,0.18617016041059886,0.34724098266082154,0.31741835415288844,0.3330920052609726,0.29422249432943787,0.355798240433696,0.13683876873337475,0.3276424959129404,0.33837995353409717,0.3052667613277028,0.29203762061813965,0.2223770464855995,0.3100460994095933,0.2594207073394472,0.454546013002879,0.36184133354125364,0.2809657452369898,0.32807146638856,0.20309309813943474,0.3363500233685548,0.45451864335074893,0.3527201976136001,0.2040476126611525,0.29134009127314064,0.23947990276457806,0.2702897307624444,0.1616146321602125,0.3595943225050119,0.2806982590132153,0.36837369306756496,0.3023708065811866,0.3789700365296247,0.4038300452907636,0.2574347147238341,0.22824208706771662,0.35745818254183886,0.4122827884168934,0.35893929046822876,0.3407241803652419,0.3412280501600529,0.41349682958094847,0.34897918468115935,0.3546605463506617,0.322503269712155,0.15921583469252343,0.29508272136878133,0.3861870274567549,0.2235218352564873,0.16851458583911488,0.28672179006236964,0.35469875274217705,0.2364988915932696,0.19714115766628426,0.24876132056120578,0.2735296343091263,0.30843933426355985,0.31696219551706,0.3018464762082849,0.2826397432006129,0.3014602057904081,0.4192748823408566,0.2763972908158452,0.3108316537618484,0.37414803150569237,0.42132076518909856,0.2669074767488303,1,DET vs FullGradCam
2,backbone.res2.0.conv3,0.23843656857883286,0.20675093836547764,0.2757515712032018,0.3119319890419183,0.2920519259576106,0.2861837112830118,0.21251682474135303,0.18026741996793288,0.1825234263683721,0.30343865797840475,0.36403215358633007,0.22701525466077815,0.4121627937063522,0.42509738139220143,0.2954793852674129,0.19776974442825235,0.269529705855852,0.2937139736904193,0.2989379718228124,0.2319261946602194,0.3546272869887806,0.10611656553144154,0.3246870298067399,0.3896111694561078,0.313932933583563,0.3900615753584836,0.4052514485291208,0.20831291727805926,0.22122606920939095,0.32199474983344056,0.21839043238295777,0.28654806771915786,0.2977090972446155,0.25996514579947844,0.35114477126684124,0.3578215663404876,0.3689826433296502,0.3049068841042027,0.29388731295148485,0.36616723496684117,0.3585709834995053,0.2868532301172797,0.24964299234274914,0.3066751204291829,0.38548673832161395,0.36304261155572676,0.3831539300883495,0.23875339656961297,0.14790686856580657,0.23643791907343226,0.25434557384444206,0.37420094100654117,0.2873882379459411,0.3879302679651506,0.3220504906230686,0.16526596646180242,0.3914181949509695,0.2309975492526819,0.36419520452092524,0.20584493380121394,0.27895116471913495,0.22578947719034642,0.4204022350222638,0.1844508509289982,0.21386426092043978,0.30721601300923274,0.26140605028712677,0.34825662717082567,0.30063846215573287,0.250131743225457,0.29128119132734337,0.22142156963960255,0.32742428247745076,0.3798312185791553,0.3841702069179553,0.36521416496900844,0.13188740351130004,0.34065133698191774,0.34431629427539934,0.25953130871312996,0.3195347216135366,0.37805427059061497,0.1657941493572197,0.3397452843640841,0.2836885259194631,0.3319816783460068,0.2971683482910474,0.25606951994062105,0.2951226130053245,0.34931672597602964,0.20407057765602296,0.33528381403600893,0.3087174074516495,0.2885536817060375,0.26075514910578834,0.23875880841331024,0.2867084428232703,0.2388947574351524,0.42929800697472575,0.3496692182938027,0.26591933100715803,0.3373956840144579,0.249354768567993,0.34013630119237787,0.4506596010670762,0.353586062334021,0.1437632719466716,0.17755541535743977,0.2250328499361558,0.2734265447040076,0.1258814513695394,0.3640547162860573,0.2676904765749478,0.36014105128364216,0.2898978943989876,0.3431047695873272,0.412940940438401,0.25518584331769384,0.2543576667953056,0.2957478559511604,0.3531072931088955,0.31142926740944565,0.386800365752535,0.39148427601867924,0.30379342684576666,0.3355112044892365,0.296255766419117,0.3198781898091864,0.13738576472698705,0.2648649671000109,0.3769847587538101,0.1830282589437402,0.15730011991323006,0.26237889305018713,0.35750242918113845,0.23250090135909773,0.15554338509886179,0.2453171906847533,0.26853790984585285,0.29730631478828795,0.32003313861877325,0.3247047836992885,0.3266880401575821,0.34053930187119835,0.3522415953650699,0.22690391689262368,0.2321547204036154,0.3441160653096602,0.371799910152432,0.26558315217855233,1,DET vs FullGradCam
3,backbone.res2.1.conv1,0.2512242448922596,0.20825627322734727,0.33750930679553826,0.30566459389212325,0.25139412841265046,0.3088589883188125,0.2119689855921455,0.18256274352336152,0.20815277986778538,0.2919639668564273,0.36140942440598955,0.24507299540242145,0.37186679458830313,0.43653728647776396,0.3145225582989793,0.2013009419363589,0.27272819124368686,0.3077649443873286,0.2947485493293689,0.22350376893329588,0.4163676388948156,0.09193091995259545,0.3317691954954693,0.36738374670101753,0.2998454682758504,0.3119197050115748,0.3622818649308439,0.20809761896810924,0.2103176940354733,0.3246269073809599,0.212031074221909,0.2949180627424201,0.29716744538350476,0.24482353465419218,0.36117413022849476,0.37645894852545997,0.37787095114236463,0.3112784065132038,0.3269013767887074,0.35575054959819996,0.3430932352603394,0.2866748649086988,0.23262903252352798,0.3060269303123024,0.3632626431739709,0.3658670076527106,0.38035302616039246,0.24774039141328,0.14070436327867258,0.2105597969396618,0.2623756740449744,0.37533896386050036,0.2955949813770622,0.3795008128381865,0.3237132067272409,0.1674783001232503,0.3910686563742072,0.23618729278499065,0.3689712994306965,0.20487309950845983,0.37483028329053525,0.2181583248515533,0.2796087330512631,0.15869733489509816,0.2196396455386293,0.30756369761969704,0.25626155255009264,0.3430115965243279,0.3019521090834804,0.25552690772218456,0.2886974225939162,0.22387437929756454,0.3254663507944026,0.37604302990758537,0.39724405892840553,0.35372999808414324,0.13873587175065127,0.3182448654891159,0.3511441220010662,0.2649709751318539,0.3572648510725454,0.37120915128499504,0.16986653455120454,0.33686286269638566,0.27228234068323276,0.32186961371683603,0.2722258776723441,0.2588851607707358,0.28240241763889945,0.35518822353777946,0.19270953888093068,0.3173144292768717,0.42164652481528464,0.29006606540721663,0.2575282101651348,0.2100551517597384,0.2753997685494425,0.2420191180992931,0.4199478791158301,0.3685491274210138,0.2809315123137605,0.3345665738777533,0.25582606300244615,0.33451733316456234,0.42015714548468447,0.34725583127278414,0.1560740191978266,0.24485356719658388,0.22009147421160385,0.27129218446805076,0.12571729621816233,0.3221089583186335,0.2736333177934376,0.35778854346246225,0.300410197035514,0.34057276755511867,0.44681032877453136,0.25407869534729616,0.21300491969726543,0.30284987659489576,0.3584840765613904,0.3074769641084209,0.3795996846544263,0.39170952997386155,0.36288681064797784,0.32523439062412357,0.28404826248913234,0.34048086096238456,0.2932244235062921,0.2642248153148363,0.38448208346243473,0.19055160309630484,0.24948662381942957,0.27793619378700507,0.35320859114954084,0.22598471858299532,0.16692159463112616,0.25319393610969854,0.23062650698963377,0.29347599013589726,0.3392209475823354,0.32112883381309604,0.27360049692831695,0.28982905969049777,0.3577253885453774,0.2380457378942183,0.22236285639590325,0.32897550852487356,0.33490276135726815,0.25300245059549475,1,DET vs FullGradCam
4,backbone.res2.1.conv2,0.25337527025245876,0.20411898248190846,0.3454185631288932,0.32263815667727164,0.2460697751595393,0.27282800003900026,0.22206716441417695,0.18186883914696958,0.20833847371650158,0.30137785317898136,0.3667742401990792,0.23936821489797758,0.3659381897978114,0.41884737558086416,0.2882101748531299,0.1962050644430452,0.22868940763466794,0.29254657762619685,0.2994099053626883,0.19352920780273625,0.35107956925812084,0.091923619858968,0.3242846985885965,0.3555599816799474,0.30624001603840056,0.2869372888369357,0.26965821713448423,0.2068509350001832,0.25238322654931744,0.33686027910124167,0.21092380212958237,0.30977236808655323,0.3044817419891575,0.2532756823792653,0.305517969777393,0.3570583269969071,0.376928742151726,0.3140881227617611,0.33525372312851376,0.35601514812340784,0.34245446148111164,0.2943992795926125,0.2552576679014769,0.29803486275621416,0.37593399521415966,0.269716372787987,0.38867239964274725,0.2546146727995748,0.15935297626709707,0.22637235087838764,0.253767514950651,0.3737600827372856,0.28877325540161064,0.37900403852887954,0.32333753282632344,0.36324082206846275,0.3713480565559443,0.2408164108735495,0.36903591347126397,0.2898743116060011,0.2811516618521209,0.21651460061856434,0.26744831549802967,0.1591026923745876,0.22632628985013276,0.3073355505167114,0.2856007762097921,0.3267258544745934,0.31994946756729775,0.28916992028733435,0.2859325403824328,0.20877365968424955,0.31812141417456274,0.3927905549077594,0.37611558141938695,0.36660398364304525,0.1374282260123994,0.4301006275894617,0.3791159026302644,0.2707451407114332,0.3235690781108231,0.3870643523207969,0.16357411345838097,0.3322617420452513,0.27249627987806435,0.32361198515604656,0.2741714017679847,0.3435863793168003,0.2894982588702268,0.3536927465375392,0.1353038963214014,0.3288601007083778,0.397339839157431,0.28473653264166926,0.2898491803187626,0.24711711739448314,0.2878055964663001,0.2365089418558698,0.43077252901172036,0.38319701145525226,0.26981611181429893,0.3371855656232152,0.24622893985305028,0.3333680594271962,0.4205166071384411,0.3406110198321298,0.14244538828397313,0.25415440449307375,0.22654143245852157,0.3035722678900086,0.14152243782780904,0.3252373390583198,0.2518336504439017,0.37066836835726064,0.30512877362385,0.34118344960890395,0.4280160132070062,0.2542581531405551,0.23777542665908222,0.2980543265839313,0.3752162548422559,0.31243098157027993,0.3804164520618855,0.39152039550057544,0.3333304313079014,0.337417946634986,0.29199271347576766,0.29819912127657794,0.26266985325546605,0.24296569715869715,0.3768237246173226,0.1873512707119722,0.15331767140505212,0.27691349817397287,0.3601092008261734,0.22996015096063885,0.17112444494181434,0.2598428004495986,0.24731319648237676,0.2905242158488732,0.3323437687089709,0.32828003071301487,0.2693836530818293,0.28147867590572034,0.37655168862093985,0.2292067520877157,0.25836781498347444,0.3378464196479578,0.3814004646755609,0.2577266229567478,1,DET vs FullGradCam
5,backbone.res2.1.conv3,0.23504897407004788,0.18144752911643056,0.29270575481959665,0.34498061025119525,0.3696643873307943,0.30799369691489287,0.21595804857173564,0.17218947552123498,0.2058345970670823,0.3235174587244794,0.3883622357236493,0.23880725503163852,0.38396439187353504,0.3962560773493689,0.2943559993999236,0.19748803077850838,0.2723198629049144,0.3487674913024253,0.30731659533043226,0.23857472630024656,0.35826939521291157,0.12556697233776812,0.3479445252255234,0.3372040325932091,0.3761577527097036,0.2737411440985653,0.3870102103189622,0.2037176919436495,0.2381973766289951,0.34837353135697063,0.22615397429286888,0.29926302014110934,0.2875681560776989,0.2395063584291088,0.3656702247850768,0.3478396366848296,0.37486230713425156,0.29033039479013767,0.32899913298214195,0.381302127412048,0.3452227704917028,0.2859635550141566,0.23114165176226906,0.2967819164834159,0.37090664851519356,0.3182788404621754,0.3876038903400851,0.25842481884523744,0.15036651108947222,0.2117432607175108,0.2658425111866565,0.36635302657843233,0.27506791488759696,0.3817892354900725,0.3448058093042403,0.15044286843799015,0.4040742747287912,0.25066179776930003,0.38259309624048593,0.20520690849923076,0.2804536969984525,0.23029529546993976,0.42073753244713996,0.24713265618324465,0.22765379739216327,0.30741116098423793,0.30628198871716744,0.3615134827442951,0.29818678612023164,0.23698875099158329,0.278536123217625,0.2023265445062237,0.32723478551484525,0.38954164162959115,0.39095260755223354,0.3600501953990795,0.14154322947510792,0.30302473178388767,0.38753127447076746,0.2626411178892215,0.3444031332650241,0.36231750285163267,0.17866523926827285,0.3411774468541587,0.2392728059977502,0.3328153689109906,0.2684451505373941,0.2976727882979482,0.30429970735209505,0.32132244093958523,0.15731652814757813,0.32629857383790367,0.3466175665127663,0.2875690785236252,0.2753118581260825,0.22791956547807554,0.2538304904458581,0.23806074499719948,0.4310036585970901,0.3768833500266538,0.270259318508415,0.3578392142606346,0.29562020913615106,0.3403560583282393,0.42109647743116485,0.4045926448981118,0.1393862269101021,0.2155468223901173,0.2223978393124438,0.3113908943951538,0.2731932784257064,0.3197731502928565,0.2485429245699807,0.3721184152118576,0.2883593231447479,0.3390011040639289,0.4154840315131974,0.25231483664195326,0.2767428325306881,0.30991094922133694,0.3545468946708524,0.30102479063372845,0.4073508402185234,0.38368710645004744,0.3702443618835025,0.33565977077816195,0.28283173944590223,0.3109129459546363,0.2704197844642362,0.2791697400239437,0.37060528679804533,0.17413290617334548,0.15025133874571406,0.27020560179888575,0.3429759790218069,0.23276320813425777,0.17781344759140405,0.24069264492657697,0.26245511333733523,0.2871299726005204,0.3352347861379396,0.34367930242429295,0.2642963738766655,0.3417419536840053,0.3835884405186753,0.2150562369692947,0.2403478888985127,0.33495230834370754,0.3211289429980188,0.28649212168427,1,DET vs FullGradCam
6,backbone.res2.2.conv1,0.2639649801297173,0.21381582708469887,0.3572639617653454,0.33082230192011064,0.24045042012023335,0.2904367639473063,0.40937067886371253,0.19445886415182478,0.2507237656311986,0.28906918994811287,0.3742537602835316,0.2515163799016229,0.3774881482056322,0.44884809303318135,0.2488413834258561,0.19598782491356329,0.2271738099862276,0.30606873857904876,0.3019993294072772,0.21712105078653177,0.3533456888431987,0.08781166395372832,0.32311268873836146,0.32581684024125557,0.3023966674607937,0.36388750232258027,0.2609247377963802,0.20214376858944336,0.22677824468227742,0.3396185764063,0.21776640097227354,0.3173951016750161,0.29550881747064417,0.24463664758531123,0.3533068113185961,0.35735968240532556,0.37870863601034693,0.3178222990623943,0.3469167381468175,0.357545968954111,0.34805355878744093,0.2991151950416046,0.22495549759583947,0.31354569719354736,0.35956124460995365,0.39662676552279397,0.39100789109260287,0.2455923336581611,0.16640208792089972,0.21206906735938152,0.27984496062789543,0.3729862270829294,0.2692300370670526,0.37458350765136933,0.32974709436978256,0.19240912103102953,0.4032684735254613,0.24007663371294963,0.36998952059553747,0.20754530962905943,0.2730927708554148,0.22514909972253325,0.40630452521083216,0.15711404694906178,0.2350878502155737,0.30732471089873775,0.25699584581699264,0.3388448150521604,0.30184483453260574,0.27780878865772446,0.27472832805828984,0.20990820930201662,0.33383102454055064,0.3793891825265539,0.37229229855032153,0.35444513107723913,0.13509963718252746,0.43807024178097426,0.3545470082450203,0.2810756759074759,0.36984008807852253,0.3778375886387451,0.17796120789742476,0.3249558722070977,0.28123612008362026,0.3163163821794369,0.3084312942053133,0.31960176813353375,0.2775054097487781,0.3376888930988031,0.137065407794423,0.31294645380518743,0.3997924059143095,0.31326033392306285,0.2560416261493579,0.22825603859302962,0.2557468055324703,0.2342596462962137,0.42117134615704727,0.3754858553413921,0.2672401869174864,0.3307862742169189,0.2782724763802819,0.34480931164926404,0.3885413515935872,0.40708867710550223,0.15000748530865876,0.24155951431773412,0.2211792132588394,0.26738547353084746,0.26812399917665175,0.2944836951797359,0.2867093107125124,0.37870983806141195,0.2982351977269902,0.3376373233352189,0.4252252665022371,0.25713698993732803,0.30547799239682666,0.2998707516621757,0.37164301228574426,0.31546430262496067,0.33450060607954973,0.3767124037928247,0.35422079242472126,0.33689951296640336,0.2813488873773764,0.32116526182324867,0.2884935035991831,0.2647313625825654,0.37929561745030793,0.20465619566033322,0.18466910603475373,0.26433345035568634,0.361173862392541,0.2736304388211808,0.17600016569827848,0.2569095959699832,0.23061463418312278,0.28866775667650174,0.3304400901991122,0.34090142660080963,0.3223844346960006,0.31502432884407294,0.3606203895052436,0.2213952755365908,0.2294539204060145,0.31269071391532766,0.32445647631962915,0.2561814589601234,1,DET vs FullGradCam
7,backbone.res2.2.conv2,0.2552204294564708,0.1990604742358298,0.39285835043112766,0.3490141825347432,0.28698779442961014,0.3063902406208181,0.2227184533903618,0.1865384325005997,0.2535866876155222,0.3242409978511149,0.3716076298057891,0.2746003584074359,0.38835849449296567,0.4168131436859699,0.2775833934577319,0.203985351103245,0.2899588197284746,0.29169725941329827,0.28409112692376337,0.23144089571390494,0.36456952957878824,0.08650105389562193,0.3233608432688895,0.33829980448724206,0.3172403675892007,0.2741302983507793,0.3673465477981153,0.2073232423408502,0.28000950692377347,0.33153454959438833,0.20203152230205262,0.31184403830615737,0.3114107337386375,0.23935815619926437,0.3471224153062985,0.36834654646211173,0.3956281478747719,0.3157750371967772,0.3420725580822698,0.33911453740834696,0.3318897571555312,0.29709439493586715,0.23093444484805112,0.291899635964419,0.3707363114651946,0.32208039420814993,0.41077794100633275,0.24192640202746532,0.31239162776322227,0.31879177709762513,0.3156821913004932,0.3709135098049364,0.26865660854904483,0.3692905797425725,0.3277446129971673,0.16319918773507588,0.4285634739810194,0.24170157970408648,0.3565113265031111,0.2752672632114524,0.27949064573285987,0.22262172060568805,0.41875212398916056,0.16933184121769518,0.28241843021432433,0.3071855154286687,0.2654559058248205,0.35887995342909473,0.3056289997085493,0.31439549532857763,0.25760894742791274,0.19197854041599627,0.3219753668745862,0.3665905996845242,0.37405994778122775,0.3712031984357183,0.3380610455218709,0.21454233750897544,0.41641628197312375,0.276438052119952,0.39185613282036474,0.30230554261206743,0.18929853860116197,0.3278718533464625,0.2727126886673717,0.31132664988470626,0.25320098865404006,0.2420634020673506,0.28907714757464786,0.32817272623719007,0.15276239970920266,0.31303497391383683,0.38967066478209356,0.27700729777825617,0.2705743619507352,0.23778339411477634,0.2793188387436639,0.2502159854086824,0.4338905368042801,0.34255904168627926,0.270079936619736,0.33451336483820765,0.2773379736063719,0.3275464076066188,0.39446935659578675,0.431935744376422,0.17792960570226732,0.31406276925795074,0.21704873846999304,0.28949362898113856,0.25598721733453517,0.29325659329014,0.26714767889712077,0.4039641565719282,0.3105601328238579,0.370435614906041,0.425098358797306,0.24723153963312577,0.20022571230129224,0.25699136439200576,0.41994966427146097,0.31383122012478837,0.34433273687819244,0.334063998354292,0.3443205761391492,0.3432282986562561,0.31115694561075946,0.32451627929022914,0.12586105178878892,0.2700416582772972,0.36769380283912384,0.2243018619005849,0.1696899646786108,0.34087922495363493,0.35266857285549397,0.26941190334722476,0.22244691206721878,0.25589858329449466,0.25476014168047234,0.3276908887019768,0.3358897311282143,0.4123155580189127,0.2633372088487661,0.2749350640336619,0.36979700071703536,0.2709118312898656,0.24279979762300813,0.31619119608223356,0.35040489740131864,0.2761567811789357,1,DET vs FullGradCam
8,backbone.res2.2.conv3,0.23703087847639887,0.1862959751940007,0.31713344226243695,0.3535664129794598,0.3004325085164012,0.2934716606968786,0.2256142838597987,0.19039925046441755,0.19304514308304907,0.3242006927723869,0.3865978526846933,0.24256083123172958,0.39517320900427677,0.3866307760058161,0.2983495405337378,0.24961948880532525,0.31866200418552587,0.36909251707909807,0.3230790444949975,0.22132674668696997,0.3586207026031804,0.10779854979839906,0.3214326313326646,0.41851292335432827,0.34053867041384595,0.2635584709165938,0.2751568891452585,0.21290112569668487,0.22326336449675238,0.3401935334603818,0.2381248425429472,0.29376499861727073,0.2731014522319275,0.2367506917839239,0.3702586873539454,0.3710430788043484,0.37770751518502343,0.2846377283374934,0.319863519299585,0.39274811790933545,0.3682821501043825,0.2872864909167402,0.23388880563189748,0.3437043412470909,0.365259235340815,0.33381271538175006,0.39699736641201244,0.28445640565584557,0.1388519533258648,0.2682414860396232,0.28142189531041484,0.36552368344473685,0.29830130605469724,0.37149199318514536,0.3719078101647064,0.1400581738887345,0.3683989058833108,0.230833700405657,0.3936419367077659,0.2246050579515571,0.28287186573359846,0.2456456057406353,0.40990092095290315,0.2458729722461473,0.24455993257127664,0.3074373868271105,0.3221279735293078,0.3990910180988301,0.3332478702553312,0.23057020597034414,0.2797685225418777,0.3965750600255416,0.33863693063677175,0.41291066505125157,0.3862378528991972,0.368784900702437,0.16106203411000022,0.25928582262756505,0.39969329304351764,0.2736470940254848,0.34790399105403264,0.35313055912054436,0.17625511952633408,0.3502487513711922,0.17424774670391796,0.32868557860735875,0.2828815893814186,0.3372465741660417,0.3337018943422665,0.3333533902053355,0.16767438314678085,0.33410822851063987,0.3668911753665159,0.2953923061125988,0.27577759403981483,0.23435075498060082,0.2540810379343393,0.24575415221493938,0.4724798319562653,0.35396976065425934,0.2482276938644956,0.39670315798551553,0.24887331192028217,0.33978266837079263,0.4404990008600885,0.3926018886761154,0.13547011756086638,0.17622416937207416,0.22407864215410675,0.33133641326927404,0.2750111832823388,0.35829811732409744,0.23166641806300298,0.3545207466325465,0.28623070998277084,0.3401604092376362,0.42661009371759934,0.3158196252464675,0.27402711754501696,0.3132349799200105,0.36324562089933055,0.3086720889435252,0.423741573232273,0.3380127157389896,0.39428783042016685,0.340136664083616,0.27397442188740906,0.32355177760607057,0.16767247480145378,0.24125641542462958,0.3683219352719463,0.15755226745521958,0.1729634234028491,0.29027995323832456,0.3405748406142278,0.23991713736484546,0.19816972710425837,0.25277281555004727,0.25887486936329757,0.30540034296506535,0.33860564087138445,0.3725564427195968,0.2768967801961854,0.2878663088273082,0.43774119715398324,0.21821688757670857,0.4086538095008632,0.3363863239570808,0.334292745204154,0.3290567113283597,1,DET vs FullGradCam
