,image,0,1,2
0,airplane_167540,0.25916718429619034,0.8527962324443545,0.5329654974596969
1,airplane_338325,0.34404308361927904,0.536661444009898,0.4546970999158244
2,apple_216277,0.3046223099258712,0.45049362302082063,0.356632803956801
3,apple_562059,0.2517667528300863,0.29066565884300033,0.3646138145320254
4,backpack_177065,0.27669951036755513,0.38819431098788926,0.6418383354823659
5,backpack_370478,0.4306172344012417,0.7535016136395043,0.6715147555731372
6,banana_279769,0.13307802613141176,0.17482518669279457,0.24224072792439158
7,banana_290619,0.08549458036967869,0.1821905000362621,0.1454986577384431
8,baseball bat_129945,0.3014774338577558,0.5544637782414485,0.3333485619746758
9,baseball bat_270474,0.44084322737308473,0.3487257882563276,0.5116441082598809
10,baseball glove_162415,0.3209018729930806,0.1103341067098842,0.2564014684763779
11,baseball glove_515982,0.22727372963075484,0.7401610431960965,0.5746971624596262
12,bear_519611,0.1985681182784866,0.6291081140631133,0.4031103856313369
13,bear_521231,0.3882281143364241,0.6548201430577223,0.3649462136216209
14,bed_468245,0.31895221819176806,0.415264774483636,0.38856854003456176
15,bed_491757,0.3417828584996988,0.6375640030323548,0.4454658604750079
16,bench_310072,0.5156101045182504,0.3284964133696216,0.1487601184458931
17,bicycle_203317,0.3175590396298143,0.25912436378395454,0.3777389703859257
18,bicycle_426166,0.36121296552036897,0.581386861614237,0.5136447939916807
19,bird_100489,0.23748204280905835,0.06586345428186038,0.30533060717272037
20,bird_404568,0.3178049906618176,0.0892004752885063,0.3882820687821928
21,boat_178744,0.3904698565916173,0.6842012836020461,0.3714801010249675
22,boat_442822,0.31320764377495963,0.3306322847001226,0.2607284945252133
23,book_167159,0.2019454674262371,0.3684556604164346,0.2813703916241601
24,book_472678,0.128621292617729,0.057423689294506926,0.04796501903140849
25,bottle_385029,0.302811902179839,0.6671156759641265,0.345839317449905
26,bottle_460929,0.24707208410465814,0.2302248898795199,0.2668774918116985
27,bowl_205834,0.14431758727976834,0.151849334315402,0.12938633949442166
28,bowl_578871,0.14949261443340692,0.15214827577022483,0.26228235333988603
29,broccoli_389381,0.15985724016232253,0.22393086099070192,0.19996976312437095
30,broccoli_61658,0.14565401575720976,0.3672955196618396,0.2141597497006902
31,bus_106048,0.3091242529042919,0.7700677265744317,0.41392767275836917
32,bus_226154,0.258889445380247,0.6374908146869425,0.40100979370738754
33,cake_119677,0.30040470509724776,0.30505462603213923,0.4246651888526025
34,cake_189451,0.2001054285624841,0.13423609877093545,0.17137006492663756
35,car_310072,0.38644640046730633,0.5268057453542777,0.30274541432183033
36,carrot_130613,0.3883614447537439,0.15104021119714905,0.25994396539820414
37,carrot_287667,0.4354174795561409,0.3319974686683732,0.3669504663220546
38,cat_101420,0.33092208654885935,0.4668408443629654,0.3493534023844143
39,cat_558073,0.20460905216846606,0.45063398948459865,0.333738132844196
40,cell phone_396729,0.24687013798592072,0.6028086466973139,0.4785365856996024
41,cell phone_480212,0.2587251093297088,0.20974581577057727,0.4661119810118348
42,chair_190236,0.2741516426259335,0.3940230871436391,0.49040916702598375
43,chair_81061,0.30345318651396064,0.29176529113433736,0.24949685265804936
44,clock_164363,0.41335843230254693,0.7013970922082581,0.4875883341726223
45,clock_60363,0.212125861081274,0.5584110779454381,0.26681091001872465
46,couch_29596,0.26958779820891915,0.3928984279558536,0.21672612907963562
47,couch_31735,0.2268244959702713,0.45726712507655287,0.32098363906827626
48,cow_361268,0.3759312120360075,0.17846512439340917,0.30415640832622665
49,cow_545958,0.24200803675377086,0.32502975456111616,0.3337848587927443
50,cup_226171,0.1707476822653285,0.3181290918510098,0.4211974644420449
51,cup_323151,0.361453709730294,0.3176180113513152,0.4121169588823323
52,dining table_385029,0.36301287706157936,0.40587453408353225,0.3477334033546615
53,dining table_480122,0.19573213776557147,0.14819735952100005,0.19065092329295097
54,dog_331075,0.3328730193998187,0.2364515020947684,0.37794904305625227
55,dog_357459,0.36059982779486355,0.5857999645390092,0.44529420817549575
56,donut_109798,0.2527142659822379,0.35091611256675426,0.28755428796696975
57,donut_148957,0.2962967718148163,0.29896037068610476,0.21420524531342702
58,elephant_83113,0.28687615016490514,0.5585126420010513,0.4794992413298642
59,elephant_97230,0.3211770220539141,0.1702019946841892,0.30911756640926724
60,fire hydrant_293071,0.3320403664442735,0.29564206582976044,0.2966154456061907
61,fire hydrant_344909,0.29570935877113347,0.7458438011675212,0.281546694457486
62,fork_243626,0.30364539485273123,0.3696458438345869,0.36763966832127615
63,fork_250766,0.35057628982464023,0.3080532263105937,0.2593698849729374
