,image,1,2
0,airplane_167540,0.8270516301095464,0.6132625518520441
1,airplane_338325,0.8520189732722229,0.6326141444079864
2,apple_216277,0.43281519828931175,0.5625487661753821
3,apple_562059,0.33879207651060184,0.2858315836664915
4,backpack_177065,0.07645401170118392,0.03969337077192426
5,backpack_370478,0.6050848504325926,0.6119418228203528
6,banana_279769,0.4110989025420469,0.3714340826693456
7,banana_290619,0.11151436820233142,0.20159736612696977
8,baseball bat_129945,0.028331445544170258,0.03521362096199015
9,baseball bat_270474,0.3410221945607743,0.39841013004551656
10,baseball glove_162415,0.45970624718383335,0.536584780473131
11,bear_519611,0.6437476413680728,0.5425142623082921
12,bear_521231,0.621171130612679,0.5411261623457669
13,bed_468245,0.2566532591361185,0.3575757328944719
14,bed_491757,0.46388963278857415,0.46839191272683844
15,bench_310072,0.612787681262612,0.6007830317236903
16,bicycle_203317,0.4277144283270115,0.5240389884946963
17,bicycle_426166,0.4978433393667375,0.5396780427064589
18,bird_100489,0.5296558563666787,0.513910484500134
19,bird_404568,0.22261554837956338,0.42849656413306236
20,boat_178744,0.7637408641792701,0.6276347151879071
21,boat_442822,0.45949087263307836,0.5465907753114883
22,book_167159,0.4125072621978283,0.388275842232352
23,bottle_385029,0.4237002843730765,0.4534916002533576
24,bottle_460929,0.340163260971134,0.4715295558155807
25,bowl_205834,0.3659368282493374,0.3869966227745622
26,bowl_578871,0.02219204613346378,0.02855429394341379
27,broccoli_389381,0.45194109710694164,0.4112797742261916
28,broccoli_61658,0.14827262568555416,0.16190397742020746
29,bus_106048,0.627593142821209,0.5633427539697655
30,bus_226154,0.6768551919125343,0.586912008777252
31,cake_119677,0.682035098072068,0.4942098776186702
32,cake_189451,0.5162384716191428,0.5645346920431387
33,car_310072,0.346341844514394,0.453656807544157
34,carrot_130613,0.31462195483380867,0.2743754742906587
35,carrot_287667,0.48686158733084195,0.451100872895962
36,cat_101420,0.34765260113123825,0.4829484871756645
37,cat_558073,0.5966411001498139,0.46399399553979553
38,cell phone_396729,0.4272048073040996,0.4043044475392659
39,cell phone_480212,0.708902609752522,0.5350071871610474
40,chair_190236,0.660068126281722,0.5379229325253875
41,chair_81061,0.44154338321088527,0.4179679175188909
42,clock_164363,0.6910123964978668,0.5660244220410612
43,clock_60363,0.47311086012649967,0.35254658850068527
44,couch_29596,0.2308249727755441,0.26473723986072156
45,couch_31735,0.4144634282296256,0.37696180221174885
46,cow_361268,0.45503598350316554,0.560938272136916
47,cow_545958,0.43896331516840653,0.4597513130999789
48,cup_226171,0.32269327097353506,0.31396961952123054
49,cup_323151,0.24607165120159313,0.2724630402159566
50,dining table_385029,0.7710123263170963,0.6208003077322278
51,dining table_480122,0.14747474429302676,0.30814711927333743
52,dog_331075,0.19799830305772925,0.3690518500751789
53,dog_357459,0.48372598666419014,0.5977221463210907
54,donut_109798,0.5403353115618612,0.5245565572822565
55,donut_148957,0.15606181068912556,0.17935844657243744
56,elephant_83113,0.526441032626317,0.44170657675209973
57,elephant_97230,0.2905287716494629,0.44211627160506056
58,fire hydrant_293071,0.550757217322485,0.5147760676632698
59,fire hydrant_344909,0.7011386814856991,0.5698439291501797
60,fork_243626,0.28023689008018227,0.4088364347540448
61,fork_250766,0.23831699805413833,0.43735856232123554
62,frisbee_139872,0.13477223193136062,0.18338907027055718
63,frisbee_357459,0.34516524790277425,0.37985121792804777
64,giraffe_287545,0.28124499413053794,0.5324815524885208
65,giraffe_289659,0.6678519301659598,0.5438901014146622
66,handbag_250127,0.495149434115767,0.5305400996132186
67,horse_382088,0.6700650352702525,0.52342431178911
68,horse_439715,0.31767959061840867,0.40377085025749343
69,hot dog_311950,0.8264881417754382,0.5726923894839395
70,hot dog_400082,0.4549165730879169,0.40748715854356954
71,keyboard_378099,0.5680139477309082,0.4829937822654403
72,keyboard_66635,0.3386891444541948,0.399341900261821
73,kite_24027,0.5144539393240408,0.47352651249051053
74,knife_116206,0.3144881338638666,0.31234205674994014
75,knife_227985,0.11257284849414737,0.06407604196271893
76,laptop_360951,0.44539300587085867,0.4017015265504669
77,laptop_482970,0.4647797162877907,0.5198914247215
78,microwave_207538,0.6490013627645043,0.5358384176178331
79,microwave_91615,0.38499700771325135,0.36076171457555267
80,motorcycle_462756,0.5918871566112005,0.6779225992382174
81,motorcycle_499622,0.8003292608027649,0.7250924523373264
82,mouse_68765,0.3482048766131809,0.24037475557423638
83,orange_386277,0.6849366071821036,0.5024726716861396
84,orange_50679,0.45781253364019725,0.4101205162645479
85,oven_446005,0.4619236674774609,0.46500161142979884
86,oven_802,0.4968909521502922,0.500457708909523
87,parking meter_333956,0.35991914283798576,0.40778490420444674
88,parking meter_568147,0.43079517208176227,0.5418073331915566
89,person_278705,0.3030072531830807,0.44909662245784066
90,person_562243,0.4306627195616925,0.4159446312565414
91,pizza_276285,0.5707776304482954,0.4863911928341515
92,pizza_294831,0.7350685714542731,0.5181665025640759
93,potted plant_407614,0.5540685763260561,0.5663540734783264
94,refrigerator_498463,0.7449911211638874,0.5284685288378219
95,refrigerator_536947,0.8166177751122924,0.6014949322828618
96,remote_430286,0.3778619675398724,0.3091278391915287
97,remote_476810,0.5054354749830068,0.5465502685872156
