,image,1,2,3,4
0,airplane_167540,0.517637158578679,0.06798279714003941,0.4323323086998264,0.22063041243265794
1,airplane_338325,0.4873233912840946,0.4007472308686626,0.4033473534132099,0.3005450297506531
2,apple_216277,0.5310828840149057,0.6153209787840851,0.3690423593622636,0.28463473177073656
3,apple_562059,0.3545942558600759,0.12864269258891836,0.21484559161293298,0.13889672055887395
4,backpack_177065,0.7320734227074224,0.4367983834463456,0.4345067286357995,0.31308615729665035
5,backpack_370478,0.6613894860833581,0.8015768050718987,0.3857692434642425,0.2872713292241534
6,banana_279769,0.24675971884558767,0.18602554350006625,0.1683294168049534,0.10659166679707706
7,banana_290619,0.08102530513871031,0.045639485213657245,0.060069244948343134,0.05075200392181415
8,baseball bat_129945,0.2580901284015471,0.26293092581308297,0.20748958416132687,0.13029201789598707
9,baseball bat_270474,0.21051022355061846,0.2638342175026802,0.24012528745901332,0.16189623048200721
10,baseball glove_162415,0.3166196454847854,0.537962197792965,0.21962718152758862,0.17767541148626542
11,baseball glove_515982,0.35841364018906635,0.34796959642412134,0.23295263096795502,0.15151028155116142
12,bear_519611,0.5298668735163886,0.513972094954999,0.28997253247690297,0.18169325702335282
13,bear_521231,0.40099137869715074,0.5361313000250603,0.3278517366608089,0.13881040228761407
14,bed_468245,0.12144173093843275,0.05185600999865727,0.1288876481449263,0.0900375025100694
15,bed_491757,0.005164903012499649,-0.04465005352555673,0.13236859517011454,0.03441448684025945
16,bench_310072,0.1930097921345308,0.07777843067557519,0.1604672668676217,0.09615611455136784
17,bench_350607,0.1270563592101393,0.04692006882215801,0.22271736206957132,0.133964606606049
18,bicycle_203317,0.28180049912298333,0.35016866153153225,0.274518175769007,0.2062901753294072
19,bicycle_426166,0.4273005588090832,0.30535086120910243,0.40223192221195203,0.2633169711840485
20,bird_100489,0.4854434596795719,0.21299785594713358,0.43518716407011127,0.312753580211815
21,bird_404568,0.32579081477453875,0.4726448663367513,0.32153730429544786,0.31852397532349913
22,boat_178744,0.4543236585827978,0.2534739793376867,0.4817158194328479,0.25642716633613966
23,boat_442822,0.3747583577942007,0.17058538535347767,0.22732113102335189,0.18230319910777498
24,book_167159,0.16828368811689695,0.3983624736217357,0.2747904794138528,0.14401977784562073
25,bottle_385029,0.335119371524505,0.15550889624578532,0.2932771975556751,0.16850431376577663
26,bottle_460929,0.3443454341390326,0.26360033724378035,0.23284023071819573,0.11768126168800391
27,bowl_205834,0.08872626554713112,0.07650405279304902,0.13602050122498865,0.0847285902003071
28,bowl_578871,0.1602183447184597,0.12495755228207926,0.18879981067699328,0.11042299267874021
29,broccoli_389381,0.3701843952044449,0.3091855075332674,0.22994032335714448,0.17906116754912046
30,broccoli_61658,0.14715617646599494,0.032266377486389074,0.041285003577060504,0.04931103006299282
31,bus_106048,0.3527989863269261,0.47237745811793924,0.22893008211905763,0.11225057630808458
32,bus_226154,0.1551317810327864,0.2644821610930857,0.20015091703884513,0.08019682323200002
33,cake_119677,0.4826153024752383,0.47856023626968275,0.42803332551972395,0.2710432169768316
34,cake_189451,0.24157014622983444,0.16113952145725227,0.23244572526751625,0.14620305418766824
35,car_227511,0.2429852817262051,0.2612769325968643,0.28763933710766637,0.1557430799646076
36,car_310072,0.22486302294980606,0.23681166612654744,0.23196077904692824,0.13918176241004349
37,carrot_130613,0.25946766797772713,0.33708584284037163,0.1945556820871377,0.12351353222110742
38,carrot_287667,0.4567747359842077,0.5837086825339003,0.40327456390461314,0.2701594349978972
39,cat_101420,0.2986550449598559,0.34724517312089564,0.32192558008482136,0.20653151161083266
40,cat_558073,0.46272235192288247,0.09567737217151874,0.24024965607364623,0.11069007714324733
41,cell phone_396729,0.3486630560497108,0.30172891461633655,0.31415736657608706,0.17622038565254017
