,image,1,2
0,airplane_167540,0.4497185418778856,0.3447173609942464
1,airplane_338325,0.3042611447436609,0.37863627258007576
2,apple_216277,0.3233833122244515,0.3348221641063007
3,apple_562059,0.1879253037175925,0.190965121613194
4,backpack_177065,0.09727015053594072,0.0025947149868024494
5,backpack_370478,0.22301946253613378,0.14238610587882006
6,banana_279769,0.17042035865708963,0.08454901141643602
7,banana_290619,0.37282904648869664,0.20466401621919547
8,baseball bat_129945,0.04049599907824422,0.0034762799078524773
9,baseball bat_270474,0.4685017106361068,0.34096599453809107
10,baseball glove_162415,0.4568129010167178,0.29718026959059957
11,baseball glove_515982,0.21800367874465604,0.007283306189739935
12,bear_519611,0.4125414766719279,0.3182337232005979
13,bear_521231,0.40381422396310773,0.364674151192528
14,bed_468245,0.2528396455948461,0.25635997907500657
15,bed_491757,0.2718554896972155,0.1685378703682884
16,bench_310072,0.24857283499809602,0.23914771335819623
17,bench_350607,0.37939392996105736,0.264120228915066
18,bicycle_203317,0.2960236825579757,0.264639747414986
19,bicycle_426166,0.4836234872848403,0.25604719643577245
20,bird_100489,0.016795774585229656,0.14721679241593177
21,bird_404568,0.5259634656698929,0.25703239013649803
22,boat_178744,0.2107271637712579,0.30350521668492875
23,boat_442822,0.7477826172558647,0.5442071366722083
24,book_167159,0.20847737811031414,0.13487261711395745
25,bottle_385029,0.19054400971488436,0.242952968857904
26,bottle_460929,0.25192943238313065,0.30143534395609367
27,bowl_205834,0.41245996404437973,0.21170224246431565
28,bowl_578871,0.1400722739567581,0.00922087381364274
29,broccoli_389381,0.3126417443034808,0.15277643320722042
30,broccoli_61658,0.5838636626662612,0.446550373390829
31,bus_106048,0.5475373528376631,0.3925813839533282
32,bus_226154,0.32205768717649547,0.3148418960402399
33,cake_119677,0.18043159116563406,0.2488894993599602
34,cake_189451,0.27665018639593725,0.30906596208337145
35,car_227511,0.5659381466992649,0.359783313041021
36,car_310072,0.1784020385258105,0.03726157792981006
37,carrot_130613,0.35004236500958336,0.12262991522306663
38,carrot_287667,0.2924091197319467,0.3192810265344586
39,cat_101420,0.38398538716670816,0.22230749082956458
40,cat_558073,0.41218264542498095,0.309868155475479
41,cell phone_396729,0.3207147748463348,0.25538066945284776
42,cell phone_480212,0.34529613795891884,0.3163058884666418
43,chair_190236,0.0868810813265736,0.12151584465616672
44,chair_81061,0.4856902043373773,0.2534954523406885
45,clock_60363,0.15603704201885576,0.220680551948723
46,couch_29596,0.3712792660460552,0.26327683213259195
47,couch_31735,0.2330013805917372,0.2712504498708523
48,cow_361268,0.18418681289954653,0.15432138974766307
49,cow_545958,0.1201654240673202,0.15287806697260012
50,cup_226171,0.22788117660210444,0.18012295093096775
51,cup_323151,0.25170573579463673,0.0778976683255878
52,dining table_385029,0.2713690991303356,0.35011057126198136
53,dining table_480122,0.27490580690973504,0.22291266775202173
54,dog_331075,0.4267511097670991,0.23723656594674095
55,dog_357459,0.28968314660461697,0.2905269500177188
56,donut_109798,0.4933648485526275,0.4144312169540287
57,donut_148957,0.5565067085065388,0.31299061418962243
58,elephant_83113,0.1337370467378517,0.22670505244864145
59,elephant_97230,0.5936692770154852,0.4165927891676009
60,fire hydrant_293071,0.18277020702504115,0.24825768236585022
61,fire hydrant_344909,0.32133042612528706,0.3608864755483769
62,fork_243626,0.4996231010979167,0.14592524132369133
63,fork_250766,0.3552013685306961,0.23671554768814915
64,frisbee_139872,0.16467728569844425,0.18002334411329882
65,frisbee_357459,0.30294318911874807,0.26544524963289723
66,giraffe_287545,0.36883713575654886,0.3353240318574035
67,giraffe_289659,0.12066369138990125,0.3649292508877707
68,handbag_250127,0.33236682238839593,0.24765029670554708
69,handbag_383842,0.2146378604391496,0.18012525180378086
70,horse_382088,0.2536833960917511,0.1939262189976739
71,horse_439715,0.3919849657832527,0.38475407531003586
72,hot dog_311950,0.05361420187019259,0.19867683291969207
73,hot dog_400082,0.2545279134319841,0.2312744518829273
74,keyboard_378099,0.42407049537013697,0.3823295034974837
75,keyboard_66635,0.3269375406002828,0.2169660382195233
76,kite_24027,0.012496205300432741,0.2317650795741536
77,knife_116206,-0.01640338823986446,0.21811367855020464
78,knife_227985,0.06117458721838535,0.008643980117948917
79,laptop_360951,0.2687428222597083,0.23568562229603612
80,laptop_482970,0.3049851485127687,0.22016598315807046
81,microwave_207538,0.5016121546449528,0.21104429288018745
82,microwave_91615,0.12046898452786574,0.1321450860926514
83,motorcycle_462756,0.4398336322940345,0.37299396097599785
84,motorcycle_499622,0.5488862906888551,0.4138549125418572
85,mouse_68765,0.04463359217996075,0.0933376354685421
86,orange_386277,0.23276473806488224,0.18126330779030936
87,orange_50679,0.2978212356706118,0.3528471966741422
88,oven_446005,0.4004532655381059,0.23539567156474248
89,oven_802,0.5714363883267652,0.3019462996103462
90,parking meter_333956,0.27546836418439036,0.39043656922561243
91,parking meter_568147,0.2660370338882706,0.37126912280350904
92,person_278705,0.5389838728583738,0.3869954133428707
93,person_562243,0.378175655438159,0.24135311250641892
94,pizza_276285,-0.03557215855913091,0.15539219739707788
95,pizza_294831,0.16907775375310455,0.23841814698551217
96,potted plant_407614,0.4869712796690394,0.2498714083669468
97,potted plant_473219,0.15810248048411663,0.18034580531891992
98,refrigerator_498463,0.19211432246400711,0.10109569261599798
99,refrigerator_536947,0.035358921001737036,0.06573006641091655
100,remote_430286,0.1169818231681707,0.25097520148358765
101,remote_476810,0.406366906986978,0.33103101672322127
102,sandwich_417608,0.20295869982528097,0.2392512608197736
103,sandwich_465430,0.10925212367097756,0.2914775987038198
104,scissors_324715,0.35137832050152035,0.18240704479332379
105,scissors_340930,0.5188079553252852,0.2807292127312843
106,sheep_278353,0.4213675118545532,0.14632844320485242
107,sheep_410428,0.709564262425361,0.5267048039574965
108,sink_466085,0.0992349046806145,0.17094021328430825
109,sink_51598,0.11275788284099564,-0.0023138366570942337
110,skateboard_229553,0.48657062324179556,0.34794997684000106
111,skateboard_71877,0.27251919608813935,0.2738132256118585
112,skis_30504,0.5509910131883555,0.325351721556844
113,skis_342397,0.4367165918885657,0.28707904077152613
114,snowboard_393469,0.4684725211904789,0.060069540970304536
115,snowboard_425906,-0.013219749324600455,0.17374715360137896
116,spoon_248314,0.15355428166349125,0.0045213433418107235
117,spoon_88040,0.12325063783417815,0.004159538737716099
118,sports ball_22935,0.11617425434995103,0.1989105672727342
119,sports ball_60102,0.12662469263276116,0.1255575258936178
120,stop sign_100283,-0.06309930912031136,0.29499008436671276
121,stop sign_724,0.041110190111031564,0.2883231804217085
122,suitcase_23023,0.33194181855304794,0.1655392186220149
123,suitcase_350019,0.3740179801018266,0.26088834979912195
124,surfboard_52507,0.35160097893054987,0.308524035255276
125,surfboard_554595,0.1995205729228187,0.2576833024358364
126,teddy bear_205542,0.5254794454412274,0.17544775120756678
127,teddy bear_82180,0.402922432460023,0.2029395171530568
128,tennis racket_270908,0.3049386912766231,0.2775340754791967
129,tennis racket_394559,0.30895079102827194,0.13830675037694054
130,tie_133343,0.37125765586713105,0.2907030392652442
131,tie_244496,0.5768472368992638,0.3191724798986338
132,toilet_42276,0.17706970496381408,0.23242205925002296
133,toilet_85576,0.25201205138619404,0.17562970694565647
134,toothbrush_160666,0.4878606810317403,0.3202066739241237
135,traffic light_133087,0.1394882518865082,0.006677168346526874
136,train_539143,0.3760339926312644,0.29290095863561205
137,train_90155,0.11264482474437895,0.3531334933824942
138,truck_295420,0.3509803593520838,0.33141794991760753
139,truck_334006,0.5680751775794761,0.3453884169342869
140,tv_104666,-0.033723329662161544,0.10503783358815269
141,tv_453722,0.011360108708675484,-0.001171132037309025
142,umbrella_180487,0.17205563320555045,0.26349358241291365
143,umbrella_455157,0.21606475946388418,0.17748430122767753
144,vase_376478,0.3217206982027311,0.1639530998234316
145,vase_521282,0.581448181735887,0.25016019392810546
146,wine glass_146489,0.5722552593339515,0.3220095328075062
147,wine glass_25394,0.5480670131773191,0.25982276551751593
148,zebra_449406,0.5393749009989243,0.3752976162192591
149,zebra_491613,0.20577944072827523,0.29185330549865773
