,image,1,2,3
0,airplane_167540,0.6148491323289277,0.5489697608722482,0.16940792268276705
1,airplane_338325,0.5369381522547878,0.6145884126215738,0.21302234496248648
2,apple_216277,0.37798214317988693,0.4163111512667387,0.328406624963544
3,apple_562059,0.14199904576199657,0.1634749382334954,0.19693497088287534
4,backpack_177065,0.06784825331175305,0.003983996556837575,-0.0026721717468142633
5,backpack_370478,0.2607953895237661,0.1753843037087137,0.15940737494979967
6,banana_279769,0.1230414188773471,0.054250746069967215,0.22886082574455377
7,banana_290619,0.36894980574318914,0.2544427990389837,0.2299593850693278
8,baseball bat_129945,0.012694620540516363,0.00031693964610865705,0.0008488180626659827
9,baseball bat_270474,0.5978732550099026,0.4614722413394846,0.23197455960776842
10,baseball glove_162415,0.5829886095116816,0.4327119017887247,0.22121710305109932
11,baseball glove_515982,0.21798658790473313,0.00816682455156531,0.0026920732168191196
12,bear_519611,0.5831585715660866,0.41239012670916453,0.4146800036438223
13,bear_521231,0.4680119427390908,0.38934804627164554,0.3936513134261066
14,bed_468245,0.28933055220741377,0.2814803152504266,0.27267905197216796
15,bed_491757,0.490516205903902,0.371970497943613,0.17726157844424303
16,bench_310072,0.30747022764457566,0.2928194855073641,0.26731476952447625
17,bench_350607,0.4884102482684945,0.38757456904049664,0.26323526489233473
18,bicycle_203317,0.37639410840181997,0.2639102854017679,0.2530472027268203
19,bicycle_426166,0.5005975137680801,0.3039094796130089,0.20152641559390333
20,bird_100489,0.10550417604306037,0.19913692272614658,0.1816922553127374
21,bird_404568,0.5791506571222003,0.3228699731631584,0.20447982459148203
22,boat_178744,0.2842722779046477,0.48110774949744145,0.24213670403918733
23,boat_442822,0.3196137692879387,0.4561774418756557,0.43623353086989963
24,book_167159,0.23305906098422682,0.15498290144793994,0.14154778472546461
25,bottle_385029,0.1750432583877211,0.2411025744373895,0.16783128191217456
26,bottle_460929,0.2899872159745533,0.3513421177323556,0.24935827961653745
27,bowl_205834,0.3504389515039653,0.2121791999538382,0.23691446332300828
28,bowl_578871,0.10168783859283596,0.008230370843928287,0.009811344178378596
29,broccoli_389381,0.32922715819451465,0.1630540489490621,0.14615167769221155
30,broccoli_61658,0.2999924735122431,0.2749588827891437,0.22892922972670518
31,bus_106048,0.5966922981293152,0.47321251325724123,0.4335718839072801
32,bus_226154,0.38156285885403635,0.4235600778323453,0.3838788489775171
33,cake_119677,0.22371898675898536,0.32545387681488025,0.18343964233943735
34,cake_189451,0.3448804111064833,0.431392399373426,0.3827544687713067
35,car_227511,0.3443269354385454,0.21201171030108404,0.20587148261906824
36,car_310072,0.17595642610395804,0.1657389199495859,0.052964199346362054
37,carrot_130613,0.30289658933440544,0.17347383774480227,0.1949605894993293
38,carrot_287667,0.24652825795473818,0.27942818888344184,0.2671564844970696
39,cat_101420,0.3718034476927372,0.2671528620695131,0.23842662931819647
40,cat_558073,0.49295731639415025,0.42577397558059354,0.17731158673559963
41,cell phone_396729,0.32979360778180855,0.2778767985851117,0.2560652420760439
42,cell phone_480212,0.42214171809103895,0.43020386053558285,0.2698841686451245
43,chair_190236,0.08722855982200739,0.16106704016775544,0.07857286554328824
44,chair_81061,0.4658772479969281,0.2961665456229407,0.2066338702784087
45,clock_60363,0.17943548091985415,0.2767081615212065,0.16853384703125293
46,couch_29596,0.3046192860478669,0.19259529084879187,0.1901841859848048
47,couch_31735,0.20327173860389144,0.23737119834009485,0.30023611912750453
48,cow_361268,0.18454792409253995,0.20480679826191803,0.11583123669728432
49,cow_545958,0.07078264173348424,0.18903535021154627,0.16370799292381744
50,cup_226171,0.27731709154154804,0.2419337224715125,0.21933001607348782
51,cup_323151,0.14568717218645588,0.19111473058031483,0.08521118511913453
52,dining table_385029,0.38315662068801987,0.3833388738864439,0.4449976109212546
53,dining table_480122,0.3035344325517624,0.2351799347502848,0.16761732614686173
54,dog_331075,0.5379490548539912,0.40763146934240896,0.1310123157344426
55,dog_357459,0.3552288936537628,0.372307098017677,0.27940925481264767
56,donut_109798,0.43673854057269035,0.41912544620192055,0.25564318054247764
57,donut_148957,0.3710635217371141,0.22092150762172352,0.0349254226278973
58,elephant_83113,0.08976333954707198,0.2761534862555771,0.18474754677020383
59,elephant_97230,0.471155670348341,0.3694512709864701,0.32729808899170315
60,fire hydrant_293071,0.16249464991344548,0.2510746808781173,0.2959459038599685
61,fire hydrant_344909,0.4717301807807325,0.508213271419432,0.4919996059061102
62,fork_243626,0.42357718384401544,0.15274151615155923,0.1938230965390973
63,fork_250766,0.3600377893705176,0.27561637542182926,0.17957346728139287
64,frisbee_139872,0.22323856408305578,0.19440083049883486,0.1910082626007
65,frisbee_357459,0.3608859094460585,0.3830991481313258,0.37127161507270084
66,giraffe_287545,0.29501767301294063,0.3083403360716905,0.23783869518187065
67,giraffe_289659,0.16984355854519112,0.46578107551624703,0.3267146262167227
68,handbag_250127,0.43351593854627735,0.2883617948852792,0.2558853988206742
69,handbag_383842,0.25552946951717104,0.21275848998203428,0.24258590114281217
70,horse_382088,0.31628834545310125,0.3178905441704709,0.12622097502605858
71,horse_439715,0.4080917413172703,0.45605252756121156,0.30694315325017496
72,hot dog_311950,0.07598611281109426,0.2983363290800876,0.12154556847768068
73,hot dog_400082,0.22717577955622756,0.26359790008262585,0.2027831196547647
74,keyboard_378099,0.49946582255335487,0.46175524037615706,0.4702687275943175
75,keyboard_66635,0.3202567803951428,0.2650216945341,0.14332028877544345
76,kite_24027,0.03497097715623965,0.2330892954895948,0.20686799021435653
77,knife_116206,0.005103340950519252,0.22412227405154647,0.22980079075833135
78,knife_227985,0.08427802453553791,0.005066706924372485,0.00025280761063676063
79,laptop_360951,0.24529822214009642,0.2496240305137094,0.2171025112860471
80,laptop_482970,0.42334393440104534,0.32994736370313593,0.1868248358206589
81,microwave_207538,0.5948813159936374,0.3117801131632724,0.3285114951040347
82,microwave_91615,0.12558254899654858,0.14547314297110625,0.12231119825019028
83,motorcycle_462756,0.4994741418817873,0.4907904578943883,0.3434948655102754
84,motorcycle_499622,0.7008467209427593,0.5505014434698304,0.5928967627872166
85,mouse_68765,0.04382256653131771,0.13955005346323396,0.11312890597660724
86,orange_386277,0.32613549967963895,0.24142902513864925,0.28138165589979036
87,orange_50679,0.32610713285921544,0.3908908505899551,0.3102511341085631
88,oven_446005,0.37031346617295385,0.21162560543317555,0.1783700459314122
89,oven_802,0.5532775304274847,0.3351310110403194,0.13920272708569612
90,parking meter_333956,0.2762339781914924,0.45536090888121983,0.3612453218754973
91,parking meter_568147,0.31672257799341924,0.47035653057242344,0.44194046932265263
92,person_278705,0.37565442076404904,0.38307419430982,0.30525868407934853
93,person_562243,0.2931106651919969,0.2943219806818132,0.09515995013850304
94,pizza_276285,-0.08007720981357393,0.15614138134496838,0.14539209006914533
95,pizza_294831,0.24485298934527436,0.3775429437451011,0.33966867907811116
