,image,1,2,3,4
0,airplane_167540,0.4083074882931589,0.46459070812061387,0.49757447392462395,0.2356988151544957
1,airplane_338325,0.20833591472113575,0.32615524338884616,0.24848214987731712,0.24210347067045865
2,apple_216277,0.5755587607582783,0.30651050374528777,0.2220132602771053,0.3193850759184233
3,apple_562059,0.23577223167093994,0.2257298698418426,0.3031768080575494,0.17096998508897915
4,backpack_177065,0.6337587283595214,0.40084239149000256,0.6110812267352265,0.296467459522869
5,backpack_370478,0.7904825608263684,0.2872185243974031,0.2900365838133385,0.3009359392112026
6,banana_279769,0.21525257743299134,0.1518594302416741,0.25380107744551544,0.09946182301040876
7,banana_290619,0.1784098241441966,0.11994960432760934,0.010996269028895117,0.037876852841893224
8,baseball bat_129945,0.3458857135134312,0.2454284915168934,0.20281547465957106,0.21053464309865685
9,baseball bat_270474,0.3276007188294954,0.3706068769024023,0.4413725932267991,0.29263413858448145
10,baseball glove_162415,0.6753248347434817,0.2039672053622072,0.14777015888318554,0.28643838469524746
11,baseball glove_515982,0.36777119353375193,0.19462555034038187,0.2426473597433109,0.1539534423512978
12,bear_519611,0.4416634168901703,0.20482748846492987,0.5616526858083395,0.11722232042644458
13,bear_521231,0.6220512870346704,0.2742608439306258,0.14363148187883906,0.13055076517485661
14,bed_468245,0.13557659049060364,0.16381694494096077,0.1867638350712669,0.12541233197865861
15,bed_491757,0.0754533750459525,0.08586047675687063,0.17403127718840905,0.0016409596897874893
16,bench_310072,0.2111363333197157,0.12734796272614665,0.08572658613915152,0.04270876285005061
17,bench_350607,0.0603931003723103,0.1619894016154,0.15805136374209847,0.050089511552602155
18,bicycle_203317,0.5369202372244175,0.27701665458576885,0.051033063862503246,0.13116662794517753
19,bicycle_426166,0.28462563399593216,0.3925575247971527,0.41080728176881637,0.221545685099788
20,bird_100489,0.510810924890375,0.4025520042697595,0.7162416952243813,0.19939136026748983
21,bird_404568,0.2244090773129421,0.28199679997004895,0.5451892268461349,0.28664610753791075
22,boat_178744,0.2606034353524026,0.34457539614662014,0.1492091814813998,0.13088421363609115
23,boat_442822,0.15212915783954026,0.4025232289060279,0.36198388393968045,0.2582283069115891
24,book_167159,0.4900582580251917,0.23880607814466062,0.060653859276432194,0.16796931306067267
25,bottle_385029,0.3342457872311899,0.24824346893015553,0.17063061611822053,0.16124672714357347
26,bottle_460929,0.4240006316236629,0.2414754303714021,0.11961668655313233,0.09537567730276282
27,bowl_205834,0.05286388465163064,0.14583965836926338,0.08614043592432279,0.09021583820273796
28,bowl_578871,0.19964144447780774,0.20497548697444884,0.07601091755465203,0.11425145210121888
29,broccoli_389381,0.44164067647260213,0.18175278089462862,0.2466054742288977,0.15720301648827772
30,broccoli_61658,0.2679668662593928,0.14208435602962755,0.302818146818582,0.15895004788226433
31,bus_106048,0.6102257308739102,0.20280149270389458,0.1678991789134503,0.10720417694603397
32,bus_226154,0.49553480914982456,0.12000730573218334,-0.042678032278244814,0.057651125698893586
33,cake_119677,0.5579259468008585,0.4247227338481124,0.3142138140058553,0.3725652651719342
34,cake_189451,0.23306756445145305,0.2475036046520708,0.054713096078982275,0.13278868894162588
35,car_227511,0.12177635518621778,0.3603056866362054,0.12745987927027191,0.1787734531560065
36,car_310072,0.3900015469456024,0.33356742219887975,0.28783717051276697,0.2138995050318228
37,carrot_130613,0.4405920654814488,0.39733447097939734,0.3547510192979682,0.3036963116320218
38,carrot_287667,0.6548486199910954,0.4967723454819968,0.3691603740228342,0.4110357869424078
39,cat_101420,0.3000572596406811,0.23811455101620613,0.4640231167196382,0.1689244891442213
40,cat_558073,0.3266874111352788,0.19217827006225902,0.15186088771694672,0.06909701191956183
41,cell phone_396729,0.30012309606695803,0.3306035131606549,0.17615790600301154,0.18405865343566108
42,cell phone_480212,0.26968302001037997,0.2956399881345981,0.2511958400753525,0.11601241358350145
43,chair_190236,0.5703401608684067,0.3545071156564428,0.27298848508878554,0.26466579215574215
44,chair_81061,0.40235075194806835,0.20941852627388255,0.5488708833127816,0.12658371267767235
45,clock_60363,0.6687637729392049,0.3044639134310272,0.39308809200071354,0.28404870053204945
46,couch_29596,0.1881211139403278,0.22420247472045846,0.4130440625590502,0.07892406300352311
47,couch_31735,0.1777890344062152,0.22961934205830678,0.3379913926728271,0.1650765408753149
48,cow_361268,0.4895287567276475,0.30012179266746725,0.49532387750788026,0.2811458578839878
49,cow_545958,0.3207607739953642,0.23810491040967915,0.19633275956629392,0.172897199491164
50,cup_226171,0.4566748702912717,0.24004187357850018,0.026132212451822113,0.199569622570907
51,cup_323151,0.5278052584849857,0.30277062689238265,0.12182836144209352,0.28159377229974547
52,dining table_385029,0.0420272791421177,0.058647357915585716,-0.013426256714536297,0.016304195829370146
