,image,1,2,3
0,airplane_167540,0.6649017737727941,0.4901098072730906,0.34289721190922756
1,airplane_338325,0.5685323737910432,0.3682629188950629,0.29560784554159625
2,apple_216277,0.4880275905500407,0.42560982456614843,0.41900135341905625
3,apple_562059,0.3607067418525047,0.37764253227868283,0.3615790369820882
4,backpack_177065,0.12535526387258328,0.07862458497841829,0.03013460949316719
5,backpack_370478,0.4814992136928213,0.5373727636615226,0.4167950034074379
6,banana_279769,0.27447648610211184,0.35775864579512573,0.10268243111906693
7,banana_290619,0.26590722486367113,0.2577789693562734,0.22978693139575587
8,baseball bat_129945,0.08861333096617426,0.047714650971305894,0.020628818029071433
9,baseball bat_270474,0.5946730450993615,0.6626277060601675,0.5398406554971673
10,baseball glove_162415,0.3822544946145188,0.547651555528984,0.5459423430909239
11,baseball glove_515982,0.0712558635175381,0.03791700531004048,0.01236389284663196
12,bear_519611,0.4866770237911737,0.5398711159785092,0.5204262076312919
13,bear_521231,0.4869248483015704,0.5084340634349556,0.3657228175144131
14,bed_468245,0.39707936896145596,0.32064193239499383,0.34849875585551465
15,bed_491757,0.24723771713001605,0.08990649532401682,0.20629437683862648
16,bench_310072,0.3060294225109239,0.27423989129917525,0.3475000991308459
17,bench_350607,0.3262306587935907,0.07901469841276659,0.42070980176526707
18,bicycle_203317,0.5033738575594944,0.48751919072079164,0.4533780527393166
19,bicycle_426166,0.6575151856502512,0.5372194101945547,0.44753792987028085
20,bird_100489,0.6890295560510391,0.6759262737002858,0.4382536802105181
21,bird_404568,0.48700138449811214,0.48620913149464384,0.38536585593783806
22,boat_178744,0.5610266115580721,0.4051770738078336,0.39997170048882724
23,boat_442822,0.6929561636857473,0.6679902700138278,0.6172719365259516
24,book_167159,0.43997509825539743,0.270574987653113,0.2105431843230341
25,bottle_385029,0.49393804029296823,0.4882978890892056,0.42517154735522816
26,bottle_460929,0.4953167321634942,0.40494921239803744,0.33893587021194205
27,bowl_205834,0.28975185879583504,0.21453435902715648,0.33288605331416826
28,bowl_578871,0.07414704725556966,0.020687645291810313,0.0073219358924756115
29,broccoli_389381,0.3209198361895614,0.303131872631515,0.26078644955971036
30,broccoli_61658,0.35258019169325133,0.314953975321433,0.341635154738338
31,bus_106048,0.46509655241962444,0.4915269842218156,0.39358145779407
32,bus_226154,0.3920127174147084,0.28913531433292644,0.22205691929875362
33,cake_119677,0.5766125015440678,0.6311464251679184,0.48010405314532595
34,cake_189451,0.4120324672184577,0.4024656399567972,0.375255723746788
35,car_227511,0.5755755701759689,0.5735488038837514,0.619503138594886
36,car_310072,0.5420065206246777,0.5218825384727368,0.5303904576762127
37,carrot_130613,0.5453656161766036,0.5189562138231512,0.40329256458168944
38,carrot_287667,0.6709586852046332,0.6374578385945401,0.6242389696476276
39,cat_101420,0.49057650595212526,0.5539742265904014,0.5275113879779496
40,cat_558073,0.4072342202270763,0.4902596372750383,0.34236195396079455
41,cell phone_396729,0.37663440201891984,0.3652829460265786,0.3718654740915445
42,cell phone_480212,0.5072498788760906,0.3881572082692416,0.40057904979180486
43,chair_190236,0.5536632214568576,0.4573174777883867,0.5183931819177624
44,chair_81061,0.3724226516165143,0.44155284437527786,0.23996513854718748
45,clock_60363,0.46084757356259326,0.5780909157263434,0.33725277496064604
46,couch_29596,0.37530105311269596,0.34308803216780775,0.39123381410484726
47,couch_31735,0.4283474100502463,0.39913465704701256,0.3646382894251139
48,cow_361268,0.5225133743822796,0.6535280452024294,0.6004533490830655
49,cow_545958,0.4222505619446779,0.3845894522245204,0.4111610303000388
50,cup_226171,0.22299973011831492,0.25754990261415367,0.2579216624310168
51,cup_323151,0.4355612547844214,0.4172733713256231,0.41896379062918143
52,dining table_385029,0.27300620986215646,0.0684596348863216,0.14303692241326313
53,dining table_480122,0.18079247065800155,0.10720404883096611,0.3240139996722252
54,dog_331075,0.3256568054715959,0.37011788753149044,0.07740815654221715
55,dog_357459,0.5274604684372983,0.4986931065513511,0.43970472924276693
56,donut_109798,0.6087453266354096,0.5386629445021462,0.591960958182301
57,donut_148957,0.44644426377082663,0.594455192576284,0.4156543932591084
58,elephant_83113,0.18562145692192897,0.24646791588199551,0.20184012404385532
59,elephant_97230,0.63013488902037,0.5409450850546701,0.5681503196215222
60,fire hydrant_293071,0.4754699427363002,0.6749714378162727,0.5377418516421469
61,fire hydrant_344909,0.33725030565317254,0.2806573179544859,0.21391001877991592
62,fork_243626,0.49087465514736234,0.4956302593549332,0.32789068769961954
63,fork_250766,0.5978293482517195,0.5442523258974031,0.3620716840657264
64,frisbee_139872,0.28322789289407063,0.2599127403277809,0.2675995701784027
65,frisbee_357459,0.3300589388950269,0.3345076775029917,0.3063014146964877
66,giraffe_287545,0.6101826415898439,0.5586192138890494,0.3270620278776743
67,giraffe_289659,0.37130084316940987,0.5010037740654361,0.40253941146187927
68,handbag_250127,0.38934352900558544,0.37992626739021923,0.36642702258780174
69,handbag_383842,0.38540053405323005,0.35878590634979407,0.3813271741443584
70,horse_382088,0.4793917076681646,0.4323640224804293,0.3533048433651446
71,horse_439715,0.41955922992021094,0.3618295515182633,0.38508865488024235
72,hot dog_311950,0.49202164814567884,0.4219092031475752,0.20500018915589405
73,hot dog_400082,0.346904553554268,0.40771007106144946,0.4069458571958002
74,keyboard_378099,0.42203330525249383,0.448469159905845,0.2541223478364048
75,keyboard_66635,0.4249823473652324,0.32131438632420056,0.29935796425168515
76,kite_24027,0.5717420829127345,0.6128921134408958,0.5152990508333436
77,knife_116206,0.44019183809627566,0.48052006584465545,0.3413005183152915
78,knife_227985,0.09303708423067489,0.17635034833733576,0.1646413264162123
79,laptop_360951,0.3700268063022919,0.3493798218210518,0.2798950351005059
80,laptop_482970,0.3099108331975393,0.277481763277094,0.2709678945961748
81,microwave_207538,0.3341054312103666,0.2734970367491798,0.20040032958641404
82,microwave_91615,0.361546953041604,0.36851208335043395,0.33157137753578053
83,motorcycle_462756,0.4980278281294137,0.5339819627343495,0.522357603185325
84,motorcycle_499622,0.5872576207970892,0.4870257828396162,0.5672260745731686
85,mouse_68765,0.30096027637268713,0.40716866150361153,0.3061210839362864
86,orange_386277,0.3439057275079006,0.3413946465731663,0.16475878946111147
87,orange_50679,0.4756164015985727,0.4259495610163834,0.3069013614193212
88,oven_446005,0.38144083817927105,0.42373404247622054,0.35972143094607784
89,oven_802,0.5169701556316726,0.5279871296878774,0.5179301442325163
90,parking meter_333956,0.40579362782388934,0.2257291319917951,0.09821860098515516
91,parking meter_568147,0.5128606298901401,0.45594694173022493,0.3664289637520631
92,person_278705,0.47162265229490075,0.5395181899341605,0.4689163339115892
93,person_562243,0.31489032850275755,0.23921716073660962,0.08679799730955884
94,pizza_276285,0.5858184446742525,0.7411781699870913,0.45772911810660927
95,pizza_294831,0.3071253546258747,0.31913095769489386,0.21041911565161286
96,potted plant_407614,0.34377679921200255,0.4244823157893196,0.09376281475222631
97,potted plant_473219,0.5456736122093775,0.5696879649228045,0.5008567643328639
98,refrigerator_498463,0.2941094954086212,0.2342608612579061,0.2487029715551727
99,refrigerator_536947,0.5574358178187939,0.5657561364498365,0.49826419016079004
100,remote_430286,0.30163860267758336,0.3250792171260561,0.1402795237144057
101,remote_476810,0.6099550287632456,0.5171193510391564,0.5436720951691025
102,sandwich_417608,0.4826393378851157,0.46810154520229325,0.4464507741297153
103,sandwich_465430,0.4236303817393492,0.3273045460818188,0.3225819099491841
104,scissors_324715,0.3801586679069507,0.34016992575905086,0.38079765779392566
