,image,1,2
0,airplane_167540,0.7646709220400956,0.5148847567110441
1,airplane_338325,0.6981499697660507,0.5212298392044166
2,apple_216277,0.5832829501826836,0.5269935661638251
3,apple_562059,0.30123297849273023,0.30607518491194113
4,backpack_177065,0.13806065682553215,0.0693475772153445
5,backpack_370478,0.6416135616487014,0.6590348431192157
6,banana_279769,0.29316931163035276,0.2553455567305692
7,banana_290619,0.13603666455397154,0.1808877556957219
8,baseball bat_129945,0.07137962801889763,0.025288176180165947
9,baseball bat_270474,0.43354358164018175,0.3779073835175572
10,baseball glove_162415,0.41160673657214447,0.5454965309862355
11,baseball glove_515982,0.08145279653534815,0.03271970841474772
12,bear_519611,0.5475930981782138,0.5913082861407717
13,bear_521231,0.5201626927740691,0.4953956833957195
14,bed_468245,0.3440471921498364,0.2613214086972087
15,bed_491757,0.3440544310398778,0.12340067123458325
16,bench_310072,0.37602065067595375,0.34835422670988225
17,bench_350607,0.4442469020100982,0.2508062597259592
18,bicycle_203317,0.5093033491440451,0.5133141922173373
19,bicycle_426166,0.6807111446835173,0.528299572688064
20,bird_100489,0.7175336207437518,0.5234525135969329
21,bird_404568,0.5262606074237893,0.5023291647019399
22,boat_178744,0.7842256795276843,0.6345379121272686
23,boat_442822,0.4651310709248884,0.5139456207898777
24,book_167159,0.48265078591515,0.30328054806261284
25,bottle_385029,0.4566085231664953,0.39254763634185763
26,bottle_460929,0.5048793153233178,0.42072294295620627
27,bowl_205834,0.26222937476974273,0.22400770902789324
28,bowl_578871,0.06781038880911096,0.016366536897713436
29,broccoli_389381,0.41317868626494597,0.37724171623838937
30,broccoli_61658,0.15405419133227613,0.1347925354826506
31,bus_106048,0.5075487592221992,0.5349822187477593
32,bus_226154,0.5112445773132543,0.33575265543046034
33,cake_119677,0.6123771464717694,0.5498603128378913
34,cake_189451,0.46318256109889605,0.4493676618987944
35,car_227511,0.3533410603938338,0.3404607590330025
36,car_310072,0.3735808199318047,0.3049636520948363
37,carrot_130613,0.2671947598744686,0.26183305423687336
38,carrot_287667,0.5542940953788973,0.5727871504890584
39,cat_101420,0.5103821776643377,0.487264877697245
40,cat_558073,0.4822389847436289,0.5391983576902392
41,cell phone_396729,0.3715293447864021,0.3574468325753832
42,cell phone_480212,0.6543359060049472,0.541341621840642
43,chair_190236,0.6706093483591108,0.5785312257140353
44,chair_81061,0.42524751116850806,0.3856851974923828
45,clock_60363,0.44827879177480484,0.45615970881986956
46,couch_29596,0.23641485753523153,0.24626561446784107
47,couch_31735,0.456302236834012,0.4269211487071392
48,cow_361268,0.6073108706710753,0.5731231509499046
49,cow_545958,0.552567019057348,0.5027842873221623
50,cup_226171,0.23081423897941344,0.2532523804747165
51,cup_323151,0.23924524347475581,0.24601201663576103
52,dining table_385029,0.34822197699896695,0.09629717843568376
53,dining table_480122,0.025045361472477757,0.052316299226411185
54,dog_331075,0.4606900206044393,0.3926620153730856
55,dog_357459,0.5833156168364404,0.4963284746038614
56,donut_109798,0.47520302851023277,0.5716107348617081
57,donut_148957,0.1479402474498029,0.16075776206465692
58,elephant_83113,0.430528023763635,0.4677938563641963
59,elephant_97230,0.5005335517640157,0.3376058278567214
60,fire hydrant_293071,0.5532599106731851,0.6787438104881286
61,fire hydrant_344909,0.506045735083249,0.38728456150629564
62,fork_243626,0.31680754966146346,0.29761313280508733
63,fork_250766,0.36683385904418264,0.4634359332639873
64,frisbee_139872,0.13103598345790154,0.1214941475632075
65,frisbee_357459,0.3077829519028365,0.29994550993797914
66,giraffe_287545,0.46426321423797035,0.28889184295214865
67,giraffe_289659,0.5248485550218523,0.5824023587572702
68,handbag_250127,0.47607161573961304,0.45877695161234205
69,handbag_383842,0.4516195315015065,0.4599805296975875
70,horse_382088,0.5989048535759908,0.4904599067899479
71,horse_439715,0.4463829394690894,0.41464814212332207
72,hot dog_311950,0.6388883470683958,0.5049293988758137
73,hot dog_400082,0.37847344577892156,0.4063381447196395
74,keyboard_378099,0.4890700251349343,0.44872707538964307
75,keyboard_66635,0.3154354252150098,0.2572825403899897
76,kite_24027,0.4760314383065441,0.5590498688278301
77,knife_116206,0.2770085416504485,0.284979690441283
78,knife_227985,0.029292540626699906,0.05848423081781355
79,laptop_360951,0.43400045037276225,0.3930668389274073
80,laptop_482970,0.4442568955339547,0.3811009072680871
81,microwave_207538,0.3792855969000462,0.3473363670393791
82,microwave_91615,0.3115429528683902,0.3264866217676095
83,motorcycle_462756,0.6328357804501136,0.6600134701581069
84,motorcycle_499622,0.7180640030624474,0.6165192124352598
85,mouse_68765,0.2314376362951713,0.2707593243752586
86,orange_386277,0.4417691628635949,0.3768676846774456
87,orange_50679,0.46847997334055214,0.38961759190307066
88,oven_446005,0.42809521691061836,0.4363610078945854
89,oven_802,0.44050176876536745,0.4977814335748493
90,parking meter_333956,0.4346005594246194,0.21459074687908578
91,parking meter_568147,0.5601128399625567,0.47654922800822563
92,person_278705,0.4382729447220764,0.45006358143939
93,person_562243,0.2817209157852017,0.2035876724125629
94,pizza_276285,0.6380563722473154,0.6948441900372068
95,pizza_294831,0.5007855070273597,0.43870001493451005
96,potted plant_407614,0.43765653009332073,0.4370105096069036
97,potted plant_473219,0.4340002930143677,0.4301870683750329
98,refrigerator_498463,0.3156142038858314,0.22329043271805224
99,refrigerator_536947,0.6890601088514554,0.6830089201759656
100,remote_430286,0.29469464548101376,0.31372452773584986
101,remote_476810,0.5761804433181786,0.5123764316122343
102,sandwich_417608,0.582552239125409,0.5709932145825172
103,sandwich_465430,0.31698863086214407,0.2934713773853506
104,scissors_324715,0.33604140776627495,0.3062242137253674
105,scissors_340930,0.26932603148126594,0.2637422531261848
