,image,1,2,3,4
0,airplane_167540,0.643963803063007,0.19797432349994348,0.5499934362049477,0.35245960929618303
1,airplane_338325,0.5998860673922918,0.3976929882669414,0.463497286550505,0.30140694823954645
2,apple_216277,0.3228921345256201,0.44718822684758514,0.25529112959903905,0.1982686630537846
3,apple_562059,0.007151436221196901,-0.0258734374549253,-0.015190384023785109,-0.0074537169868490166
4,backpack_177065,0.3858267664769355,0.200027146808152,0.21589967128166357,0.16126965686866848
5,backpack_370478,0.43782803751884697,0.557026538866861,0.22568630842458526,0.16394761719270937
6,banana_279769,0.25607156913486273,0.12485786902832141,0.12174373098819265,0.08572404064072765
7,banana_290619,0.05011742559166505,0.05498774030571213,0.006281750329554031,0.006747043700582589
8,baseball bat_129945,-0.01939116609413528,-0.024368528938140344,-0.016904007359430467,-0.013649845103026215
9,baseball bat_270474,0.021335356872277954,0.02911538557575964,0.028582057986009362,0.015768217521599865
10,baseball glove_162415,0.03804947153072601,0.04833200943374843,0.013158123453252294,0.005594466909686531
11,baseball glove_515982,0.30005868589775314,0.2584486779633734,0.17525052024051568,0.120077239759078
12,bear_519611,0.5740191700876717,0.6087787410163495,0.3454493471670331,0.21157499435790622
13,bear_521231,0.3888900284607055,0.5957606587873782,0.3152347834122291,0.15039418206081426
14,bed_468245,0.20041248207807963,0.08566360710119385,0.17143301873959724,0.11216025020264606
15,bed_491757,-0.07618749446877378,-0.07377322426009539,0.058391132134128894,-0.016918657055412522
16,bench_310072,0.05422334936378206,0.11237877838683484,0.15929041139157862,0.11480184521747502
17,bench_350607,0.21542634682408035,0.14792813232280647,0.2541859959127948,0.18570215908721904
18,bicycle_203317,0.1621291125987727,0.2173212859752519,0.1399473152569345,0.17034563653408902
19,bicycle_426166,0.3093144288728461,0.2930910611316931,0.37839322028934685,0.29367940549121296
20,bird_100489,0.5000845523699341,0.28246080624099906,0.3953075678963373,0.29190015181531215
21,bird_404568,0.3169715877604253,0.5946723585172798,0.26907361372884964,0.2570687360635521
22,boat_178744,0.37141966038506236,0.2036908116861784,0.4516814948100205,0.24857394484519874
23,boat_442822,0.28909008724979873,0.10801669684331909,0.28479352327762475,0.21811912857680044
24,book_167159,0.14918385302333018,0.40600172055345274,0.21602299512185308,0.11135061510816244
25,bottle_385029,0.025503722671742734,0.022561570634949648,-0.0016794962436042487,0.00012927554141812866
26,bottle_460929,0.18136984545846838,0.12197212105773736,0.13612674470379504,0.07517511337424268
27,bowl_205834,-0.0275472768283273,-0.014696721589835185,-0.022827654322376777,-0.007278121743842852
28,bowl_578871,0.10423898197395393,0.10252741256191755,0.1498012616923139,0.11070013776119145
29,broccoli_389381,0.1283681440949939,0.22455305343006268,0.16467354727186972,0.1241492689610457
30,broccoli_61658,0.048566403510908816,0.08880181629013695,-0.0273236237569467,0.018910543784243894
31,bus_106048,0.5232588522939233,0.5562141607291572,0.23844212698540582,0.14833752642423853
