airplane_167540,apple_216277,airplane_338325
0.6277464332356163,0.3105642928810389,0.41212554801444207
0.6053867350202243,0.2914162063913871,0.44683550885880635
0.7741102197416275,0.30706238665438174,0.6941883116394684
0.767896216800034,0.4375866359615269,0.7222188630191633
0.7703096393804673,,0.6959354456673233
0.7298994407588313,,0.7272288340209999
0.7576078964238161,,0.7258699113540867
0.7958916632243057,0.5017964148458974,0.6762299866192205
0.7288412763210154,0.41400776718422966,0.7170627067467762
0.7728990528505855,0.358964209657498,0.7214699359631653
0.7757806201045783,0.48618000483876134,0.6857739215737899
0.7351452368892487,0.3315960523575523,0.7206802375168231
0.7813539818750508,0.4316136893564442,0.7441373187323833
0.794607366412344,0.4480590171858126,0.7458847583075724
0.7202557237543741,0.36820574198132977,0.7192089095775603
0.752803811967542,0.3220416486536214,0.7547435535294696
0.7561421382289468,0.382768830765563,0.8287191929862295
0.7420845818622674,0.41250808670339745,0.7124921814254442
0.7693301893572025,0.40728679280775193,0.7944234826433451
0.7597081977000152,0.3821892863191768,0.648994417152804
0.7736354938567531,0.42512250575671273,0.6762741406627074
0.8410617706459999,0.33636543182173995,0.7562184337275282
0.8228079249231942,0.4057184253661262,0.6733932908742115
0.7746224254066516,0.3476756142583952,0.5709727509145595
0.8038902921067432,0.34997841133673413,0.7702266152281754
0.8185091651959904,0.3594865591727237,0.7444588439442363
0.8244479479943738,0.4302227191980647,0.694946695005391
0.7448985598153406,0.36167763633286265,0.7564896712943688
0.7906403114519278,0.31701406279238153,0.6916456878677201
0.8056120287341321,0.41213480557983945,0.6648104129882333
0.7968025092511284,0.3475923531024161,0.7550657787476458
0.78720674824575,0.40658368133787964,0.6287831460742089
0.781418410533584,0.37076038145584866,0.6414919841859887
0.7646581565902136,0.31811225048613284,0.7975008149658606
0.7496056278228923,0.3149390335438585,0.7237368796956816
0.777269770591486,0.3956781477551342,0.665577383532731
0.8221825985762268,0.3273964665948547,0.8722787577004675
0.8273309935636586,0.22764423313423143,0.8489845911291622
0.657536354269621,0.42016236561251896,0.47662828699507964
0.6020357959713423,0.379280096292134,0.5384533538199529
0.5926083304739588,0.31661617050464447,0.5008081985498478
0.7890760910666272,0.3850759088514883,0.7922454963942935
0.7788971151674611,0.24279983511535533,0.49949666366092793
0.6937153802987366,0.3163495479253555,0.5114950726907369
0.4211127516485979,0.3923374842405906,0.539345175102568
0.44901801981843337,0.2758030357756369,0.3447857132073255
0.44862858823882024,0.3724443966107081,0.2564543839203913
0.4638918593313725,0.3686617500763558,0.5689509624673332
0.8032292717820655,0.2882183460698417,0.5976687467249897
