,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
45,10,46,3,shadow object on the road,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,843.jpg,46,vehicle,car,,
46,10,47,3,wheel window handle,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,600.jpg,47,vehicle,car,,
47,10,48,3,can't identiy,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,715.jpg,48,vehicle,car,,
48,10,49,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,899.jpg,49,vehicle,car,,
0,1,1,2, window,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,406.jpg,1,vehicle,car,,
1,1,2,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,381.jpg,2,vehicle,car,,
2,1,3,2,red light,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,192.jpg,3,vehicle,car,,
3,1,4,2,speedy object,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,355.jpg,4,vehicle,car,,
4,1,5,2,lights on,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,390.jpg,5,vehicle,car,,
5,1,6,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,68.jpg,6,vehicle,car,,
6,1,7,2,dim lights on,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,183.jpg,7,vehicle,car,,
7,1,8,2,on driving track,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,30.jpg,8,vehicle,car,,
8,1,9,2,red lights on,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,87.jpg,9,vehicle,car,,
9,1,10,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,36.jpg,10,vehicle,car,,
10,1,11,2,parking in front of house,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,401.jpg,11,vehicle,car,,
11,1,12,2,in front of another car,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,431.jpg,12,vehicle,car,,
12,1,13,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,188.jpg,13,vehicle,car,,
13,1,14,2,wheels ,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,178.jpg,14,vehicle,car,,
14,1,15,2,on road,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,74.jpg,15,vehicle,car,,
15,1,16,2,"red lights on, in front of my car",2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,49.jpg,16,vehicle,car,,
16,1,17,2,red lights ,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,274.jpg,17,vehicle,car,,
17,1,18,2,red lights on,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,67.jpg,18,vehicle,car,,
18,1,19,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,133.jpg,19,vehicle,car,,
19,1,20,2,on road,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,407.jpg,20,vehicle,car,,
20,1,21,2,rear window,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,293.jpg,21,vehicle,car,,
21,1,22,2,taxi,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,209.jpg,22,vehicle,car,,
22,1,23,2,red lights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,388.jpg,23,vehicle,car,,
23,1,24,2,wheel,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,329.jpg,24,vehicle,car,,
24,1,25,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,376.jpg,25,vehicle,car,,
25,1,26,2,on road,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,273.jpg,26,vehicle,car,,
26,1,27,2,wheel and lights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,171.jpg,27,vehicle,car,,
27,1,28,2,wheel ,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,362.jpg,28,vehicle,car,,
28,1,29,2,in front of another car,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,245.jpg,29,vehicle,car,,
29,1,30,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,269.jpg,30,vehicle,car,,
30,1,31,2,on high way,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,100.jpg,31,vehicle,car,,
31,1,32,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,33.jpg,32,vehicle,car,,
32,1,33,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,327.jpg,33,vehicle,car,,
33,1,34,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,113.jpg,34,vehicle,car,,
34,1,35,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,66.jpg,35,vehicle,car,,
35,1,36,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,241.jpg,36,vehicle,car,,
36,1,37,2,parking in garage,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,141.jpg,37,vehicle,car,,
37,1,38,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,342.jpg,38,vehicle,car,,
38,1,39,2,car windows,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,134.jpg,39,vehicle,car,,
39,1,40,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,99.jpg,40,vehicle,car,,
40,1,41,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,126.jpg,41,vehicle,car,,
41,1,42,2,on road,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,117.jpg,42,vehicle,car,,
42,1,43,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,52.jpg,43,vehicle,car,,
