,Layer,Cluster,Task,Image,Similarity
72,backbone.res4.4.conv1,2,DET vs FullGradCam,1319,90.23728022697296
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1319,91.38689476707766
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1319,92.92429908075455
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1319,93.05774726134425
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1319,94.46349055273785
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1319,93.97250507194684
78,backbone.res2.0.conv1,1,DET vs FullGradCam,68,50.00254330348899
79,backbone.res2.0.conv2,1,DET vs FullGradCam,68,86.67112559944559
80,backbone.res2.0.conv3,1,DET vs FullGradCam,68,76.18613930467502
81,backbone.res2.1.conv1,1,DET vs FullGradCam,68,64.10991387321693
82,backbone.res2.1.conv2,1,DET vs FullGradCam,68,96.27173333429754
83,backbone.res2.1.conv3,1,DET vs FullGradCam,68,83.35398628516053
84,backbone.res2.2.conv1,1,DET vs FullGradCam,68,65.93026109263774
85,backbone.res2.2.conv2,1,DET vs FullGradCam,68,92.3517965308069
86,backbone.res2.2.conv3,3,DET vs FullGradCam,68,51.595510540789746
87,backbone.res3.0.conv1,1,DET vs FullGradCam,68,50.65009456368907
88,backbone.res3.0.conv2,3,DET vs FullGradCam,68,51.176867933084516
89,backbone.res3.0.conv3,3,DET vs FullGradCam,68,45.465977539634196
90,backbone.res3.1.conv1,3,DET vs FullGradCam,68,45.84094382613843
91,backbone.res3.1.conv2,3,DET vs FullGradCam,68,45.49454503173181
92,backbone.res3.1.conv3,3,DET vs FullGradCam,68,82.72953966410954
93,backbone.res3.2.conv1,1,DET vs FullGradCam,68,95.60699360788982
94,backbone.res3.2.conv2,3,DET vs FullGradCam,68,95.6600286659164
95,backbone.res3.2.conv3,3,DET vs FullGradCam,68,46.03470250347481
96,backbone.res3.3.conv1,3,DET vs FullGradCam,68,43.39436982765264
97,backbone.res3.3.conv2,3,DET vs FullGradCam,68,60.14630416305873
98,backbone.res3.3.conv3,3,DET vs FullGradCam,68,73.21682983465004
99,backbone.res4.0.conv1,2,DET vs FullGradCam,68,50.59298115963431
100,backbone.res4.0.conv2,2,DET vs FullGradCam,68,87.44944656197472
101,backbone.res4.0.conv3,2,DET vs FullGradCam,68,60.509734735317835
102,backbone.res4.1.conv1,2,DET vs FullGradCam,68,81.63611003066458
103,backbone.res4.1.conv2,2,DET vs FullGradCam,68,35.04204976065564
104,backbone.res4.1.conv3,2,DET vs FullGradCam,68,58.90165879617557
105,backbone.res4.2.conv1,2,DET vs FullGradCam,68,37.741678593479946
106,backbone.res4.2.conv2,2,DET vs FullGradCam,68,39.113816107514
107,backbone.res4.2.conv3,2,DET vs FullGradCam,68,41.64726393939415
108,backbone.res4.3.conv1,2,DET vs FullGradCam,68,94.13299385250045
109,backbone.res4.3.conv2,3,DET vs FullGradCam,68,47.10126520598831
110,backbone.res4.3.conv3,2,DET vs FullGradCam,68,35.23727331962938
111,backbone.res4.4.conv1,2,DET vs FullGradCam,68,32.523379406539966
112,backbone.res4.4.conv2,2,DET vs FullGradCam,68,33.77884591245253
113,backbone.res4.4.conv3,2,DET vs FullGradCam,68,34.19745889865278
114,backbone.res4.5.conv1,2,DET vs FullGradCam,68,33.328910985079055
115,backbone.res4.5.conv2,2,DET vs FullGradCam,68,47.33301230911114
116,backbone.res4.5.conv3,2,DET vs FullGradCam,68,30.900905449112877
117,backbone.res2.0.conv1,1,DET vs FullGradCam,629,47.299939009847606
118,backbone.res2.0.conv2,1,DET vs FullGradCam,629,51.98465547940394
119,backbone.res2.0.conv3,1,DET vs FullGradCam,629,49.192504041216154
120,backbone.res2.1.conv1,1,DET vs FullGradCam,629,57.1559231401435
121,backbone.res2.1.conv2,1,DET vs FullGradCam,629,61.47007114582135
122,backbone.res2.1.conv3,1,DET vs FullGradCam,629,75.48329115201759
123,backbone.res2.2.conv1,1,DET vs FullGradCam,629,57.17125285960661
124,backbone.res2.2.conv2,1,DET vs FullGradCam,629,58.526328383641264
125,backbone.res2.2.conv3,3,DET vs FullGradCam,629,79.36793990596665
126,backbone.res3.0.conv1,1,DET vs FullGradCam,629,65.93869212542543
127,backbone.res3.0.conv2,3,DET vs FullGradCam,629,92.02630315344702
128,backbone.res3.0.conv3,3,DET vs FullGradCam,629,72.60230231894872
129,backbone.res3.1.conv1,3,DET vs FullGradCam,629,67.8982348673666
130,backbone.res3.1.conv2,3,DET vs FullGradCam,629,65.25967132110154
131,backbone.res3.1.conv3,3,DET vs FullGradCam,629,75.41775104577047
132,backbone.res3.2.conv1,1,DET vs FullGradCam,629,52.865160145032064
133,backbone.res3.2.conv2,3,DET vs FullGradCam,629,57.213632798353004
134,backbone.res3.2.conv3,3,DET vs FullGradCam,629,81.56028534251637
135,backbone.res3.3.conv1,3,DET vs FullGradCam,629,88.79379794731226
136,backbone.res3.3.conv2,3,DET vs FullGradCam,629,85.40469960789403
137,backbone.res3.3.conv3,3,DET vs FullGradCam,629,80.55061306510046
138,backbone.res4.0.conv1,2,DET vs FullGradCam,629,56.98409107079442
139,backbone.res4.0.conv2,2,DET vs FullGradCam,629,55.577410546922195
140,backbone.res4.0.conv3,2,DET vs FullGradCam,629,61.57369634317783
141,backbone.res4.1.conv1,2,DET vs FullGradCam,629,58.05230044973139
142,backbone.res4.1.conv2,2,DET vs FullGradCam,629,61.36633468498219
143,backbone.res4.1.conv3,2,DET vs FullGradCam,629,82.07453841460507
144,backbone.res4.2.conv1,2,DET vs FullGradCam,629,63.90670961620799
145,backbone.res4.2.conv2,2,DET vs FullGradCam,629,73.32120645032633
146,backbone.res4.2.conv3,2,DET vs FullGradCam,629,69.61076945883501
147,backbone.res4.3.conv1,2,DET vs FullGradCam,629,53.4727568188352
