,Layer,Cluster,Task,Image,Similarity
18788,backbone.res4.0.conv1,3,PV vs FullGradCam,vase_521282,0.15139199955547317
18789,backbone.res4.0.conv2,3,PV vs FullGradCam,vase_521282,0.1531178716038552
18790,backbone.res4.0.conv3,1,PV vs FullGradCam,vase_521282,0.15459931769094887
18791,backbone.res4.1.conv1,3,PV vs FullGradCam,vase_521282,0.15940466428260452
18792,backbone.res4.1.conv2,2,PV vs FullGradCam,vase_521282,0.3395524072563863
18793,backbone.res4.1.conv3,1,PV vs FullGradCam,vase_521282,0.15438225032814784
18794,backbone.res4.2.conv1,3,PV vs FullGradCam,vase_521282,0.16498150426362843
18795,backbone.res4.2.conv2,3,PV vs FullGradCam,vase_521282,0.15224402054159056
18796,backbone.res4.2.conv3,1,PV vs FullGradCam,vase_521282,0.16339136377050495
18797,backbone.res4.3.conv1,1,PV vs FullGradCam,vase_521282,0.15388438686437372
18798,backbone.res4.3.conv2,1,PV vs FullGradCam,vase_521282,0.15916328065040242
18799,backbone.res4.3.conv3,1,PV vs FullGradCam,vase_521282,0.15304175806210865
18800,backbone.res4.4.conv1,1,PV vs FullGradCam,vase_521282,0.1616293366245686
18801,backbone.res4.4.conv2,1,PV vs FullGradCam,vase_521282,0.15197545241502272
18802,backbone.res4.4.conv3,1,PV vs FullGradCam,vase_521282,0.1549098443409558
18803,backbone.res4.5.conv1,1,PV vs FullGradCam,vase_521282,0.15438669720252707
18804,backbone.res4.5.conv2,1,PV vs FullGradCam,vase_521282,0.16618919384839972
18805,backbone.res4.5.conv3,2,PV vs FullGradCam,vase_521282,0.15811176052447487
18806,roi_heads.pooler.level,2,PV vs FullGradCam,vase_521282,0.16973680459284282
18807,roi_heads.res5.0.conv1,2,PV vs FullGradCam,vase_521282,0.1545139104084527
18808,roi_heads.res5.0.conv2,4,PV vs FullGradCam,vase_521282,0.14616869378608302
18809,roi_heads.res5.0.conv3,4,PV vs FullGradCam,vase_521282,0.15089008812624802
18810,roi_heads.res5.1.conv1,5,PV vs FullGradCam,vase_521282,0.16718039734143506
18811,roi_heads.res5.1.conv2,5,PV vs FullGradCam,vase_521282,0.21075397101390858
18812,roi_heads.res5.1.conv3,2,PV vs FullGradCam,vase_521282,0.16864027322286052
18813,roi_heads.res5.2.conv1,4,PV vs FullGradCam,vase_521282,0.4687594412172779
18814,roi_heads.res5.2.conv2,2,PV vs FullGradCam,vase_521282,0.17563096628531
18815,roi_heads.res5.2.conv3,1,PV vs FullGradCam,vase_521282,0.16317150788575097
18816,backbone.res2.0.conv1,3,PV vs FullGradCam,broccoli_389381,0.12722283890827427
18817,backbone.res2.0.conv2,3,PV vs FullGradCam,broccoli_389381,0.13697305568808893
18818,backbone.res2.0.conv3,3,PV vs FullGradCam,broccoli_389381,0.11617830249281486
18819,backbone.res2.1.conv1,3,PV vs FullGradCam,broccoli_389381,0.09967546024602336
18820,backbone.res2.1.conv2,3,PV vs FullGradCam,broccoli_389381,0.10871606233236669
18821,backbone.res2.1.conv3,3,PV vs FullGradCam,broccoli_389381,0.06577370357519556
18822,backbone.res2.2.conv1,3,PV vs FullGradCam,broccoli_389381,0.17997568883071513
