,Layer,760,2252,1084,865,1554,1337,99,1748,1211,1607,1662,919,1287,1685,470,2102,389,775,148,2275,558,218,34,Cluster,Task
0,model_1_act,0.289425483781216,0.2523762049151236,0.3465085317699547,0.25500759290401565,0.33051523074246864,0.32960717133692047,0.3354948012520767,0.26078341977264946,0.2520437874208143,0.30124386711793055,0.27237802809129813,0.38204947799002165,0.33271929738947154,0.3956812271099308,0.20916100747756403,0.2559925005345531,0.40685480347760655,0.24656748890911462,0.21297405191875532,0.2818120521055268,0.2257802746029905,0.16038015939877445,0.3131546348997549,1,DET vs FullGradCam
1,model_2_cv1_act,0.31179393469753697,0.25662837254103277,0.3476728109760716,0.24577232502219878,0.32848767038850984,0.33775404052434316,0.3663222572060133,0.3063762826227428,0.24917033837413277,0.3101991145092687,0.2650101198799915,0.3804438527890251,0.34084534425537594,0.4129543464602779,0.22310107478405328,0.24069860261129902,0.4041950249886519,0.24836707040029046,0.23205994381175643,0.33815154531390623,0.23911844111773092,0.17213821522995557,0.305653185339093,1,DET vs FullGradCam
2,model_2_cv2_act,0.34122178975009704,0.27192711342210785,0.3450842296822367,0.2885976426640099,0.3677024934713525,0.3516329672256468,0.34055637339566597,0.3012562498841137,0.23874444631984987,0.3440685923465108,0.29918200044943005,0.3817048120783952,0.3603159654153957,0.3418339080089445,0.23582297823272036,0.2696269215613488,0.42789159935352183,0.2446788299577167,0.25442544313254434,0.34364088899607886,0.23644047996961573,0.18498306440343576,0.32736408000045214,1,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.3053053382174087,0.2673569934090575,0.3748841670260774,0.23559768965170877,0.3160361967254873,0.3527192482601039,0.35945098920661317,0.26935063496100403,0.23472753509667577,0.3156874937400009,0.2837854225523089,0.37423507267096334,0.3491078185969857,0.40805365481933853,0.23965468445585042,0.2720459496485668,0.4162238942137846,0.26345376909216556,0.2335840119684815,0.3196459679486341,0.23419076975888134,0.17560108987757825,0.3067461221433707,1,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.30876696403306964,0.26576963550983274,0.33618946746704353,0.21501466034523256,0.31893508014818833,0.33517984631376097,0.3441803752216413,0.2953643585827314,0.25966024868324655,0.32933643304584054,0.20394050623266977,0.3792695067785557,0.3503751678365798,0.3278113146955743,0.22257412797363185,0.23623557842614928,0.395837480143815,0.2483374582511363,0.22772270446009754,0.2886193814400715,0.22790588095104436,0.14980006722136607,0.33229830548499156,1,DET vs FullGradCam
5,model_2_cv3_act,0.3135081093897841,0.265181326346258,0.3376523422958503,0.2376326962773202,0.34351339623427823,0.3460243825405342,0.3545753126018765,0.3144166043639859,0.2612366396836353,0.3468818754440128,0.20808817283927902,0.3876641900767253,0.3369092151445529,0.40064296709655517,0.2396254658348206,0.25364043541351217,0.42911740736937787,0.2540567634236675,0.23056210984425343,0.3410776218123559,0.2453910344389644,0.18257546178261688,0.33804445566932856,1,DET vs FullGradCam
6,model_3_act,0.3023563054081622,0.30478852220046415,0.35203369993936323,0.26363150266629987,0.3637485880827653,0.36554651028033075,0.3513476212789661,0.32807428073354705,0.24130324177579263,0.3862660051353199,0.26855938828573267,0.37016254529223075,0.3596385491285052,0.41285327559561724,0.2828075080056884,0.30191038495198236,0.43618053944965646,0.2214501573798466,0.2831425244206551,0.35477296081426185,0.26299230428380743,0.2305297868040181,0.41467057743966573,1,DET vs FullGradCam
7,model_4_cv1_act,0.32237449814660285,0.26038777726534784,0.33481971955533707,0.26198917615115547,0.32275531843748995,0.35032144238809576,0.34249831226805955,0.2637977437725871,0.23541975328864242,0.37443967920751925,0.22510603311388785,0.38623849934930926,0.32566152810783827,0.39431245537478515,0.24987900228213086,0.28910424290955905,0.41762976179328887,0.24045071760108966,0.254775489138568,0.2966461298627924,0.22703694238226152,0.20943504602811922,0.41039161599878743,1,DET vs FullGradCam
8,model_4_cv2_act,0.32780132013561225,0.25348703957228846,0.31487478495579435,0.30190837422203015,0.373608323817965,0.36537207955213524,0.34823944242397625,0.3428127012765949,0.25910124542364077,0.37246151412233547,0.25711193318658887,0.35982931027099907,0.3447712555163047,0.41057564447795936,0.24643315881661493,0.26675932718439244,0.4579727404292024,0.20506993634231604,0.30475874550159776,0.30145476955959055,0.2557605118238476,0.2296570843412698,0.3590013311905303,1,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.31194810095952386,0.28488926805523224,0.35546381607584915,0.2285313921378429,0.33477021629135156,0.3493168839235257,0.3389619993309305,0.3112664730119569,0.2116435923903717,0.38084902981220214,0.2759453233933485,0.38603416521894063,0.35689800119497656,0.3920655682753177,0.287222396224101,0.2567835256426677,0.42602738131292156,0.24236395973294672,0.26955464929282646,0.34194853403390396,0.21576200515183344,0.22016156509195337,0.36553843307968553,1,DET vs FullGradCam
10,model_4_m_0_cv2_act,0.3232866575215179,0.23985869195641943,0.3508763556139155,0.23322120766998625,0.3582585521933615,0.3240737065527956,0.3375645562305948,0.3281448224360044,0.2614803825453975,0.361072344815755,0.3001178460411361,0.3880609848770939,0.35983089474267077,0.38903942038437705,0.28068746362039615,0.27475061230804704,0.3991155632304357,0.19702247336800094,0.2921553657023361,0.2815848664876769,0.269667436625611,0.21817902594381505,0.3719147856694072,1,DET vs FullGradCam
