elephant_97230,giraffe_287545,chair_81061
0.22310670318472536,0.3464139596709532,0.10484642399559979
0.3284716164318896,0.14931252399206763,0.009328121499950395
0.2888613557995888,0.2935486402125721,0.024643449578160538
0.03216002289245462,0.036793770619042716,0.052064332406730335
0.4371157345765409,0.4034295747243361,0.1531597637494098
0.3774217394234726,0.3664666598290064,0.23719954988104897
0.5085628470841795,0.29540090829664806,0.16884799525870253
0.1404950651635172,-0.04250953674133709,-0.13144032908139217
0.35962945550181863,0.3935613726869584,0.15951152025021156
0.18735693252065022,0.2566696664289954,0.2312093471870335
0.3472518548748407,0.3515027181844955,0.19092866646817597
0.48882791960132604,0.47232726230399497,0.35645393545870757
0.43110303731302085,0.405717125230999,0.14715350591928325
0.5137463006533417,0.5208899336721744,0.34518257021170046
0.6653620328879375,0.3834165489627585,0.12355511879512858
0.7061622872427797,0.6104944987474753,-0.043342389302665194
0.5635369367441254,0.4186024555146874,0.34580184350390064
0.535928499462444,0.3926881673711274,0.09867391039926726
0.4824809037248587,0.5031020345692416,0.19255726501903622
0.6837303111177656,0.4012396557765535,0.25303857210711306
0.3587996121322395,0.4319927538711303,0.21211169861828508
0.6922812385272855,0.5226106969939782,0.1554473059397632
0.455995759643621,0.49597080467834076,0.43679794191153526
0.5842734185372847,0.6244998365360173,0.41443614956093683
0.6979051014460222,0.47597195376704987,0.11053420945770498
-0.0008868464571226592,-0.0010343311368774307,-0.0011950549427373776
0.6166832422577508,0.5109909862156448,0.5627656209161692
0.557157903679723,0.4275746592807677,0.4901326319892931
0.5589459608535547,0.5104891827461924,0.5465826169949238
0.3619212020797959,0.574794523045453,0.4143608354642333
0.539020982096379,0.5555560385629659,0.4547062045921847
-0.0008868464571226592,-0.0010343311368774307,-0.0011950549427373776
0.49577719740554244,0.48581941653403804,0.5631047872453132
0.4448675907591985,0.5011868836780083,0.5701032315864599
0.4640805229275017,0.5043062600305602,0.5820100148320221
0.46477513718520574,0.4811315726458952,0.5680422573257748
0.4446426627226693,0.5071874691508141,0.5750730152874091
0.4795427630548097,0.4559906768010289,0.5471048655710592
0.4483945152736133,0.5189386818241348,0.5756705648712577
0.47075643368814707,0.4214666581850107,0.5397029214311044
0.47130374577136896,0.5088793486658667,0.5582920482215915
0.4606238210355593,0.4494412609715399,0.5465058608024942
0.4591536394579175,0.5091083677361069,0.556513399031274
0.4623181006438948,0.507983087509699,0.5686809849181094
